date,id,drone.number,it.distance
5/25/18,2.1,1,3.604
,,2,2.858
,,3,2.978
,,4,2.855
,,5,2.942
,,6,0.319
,,7,2.948
5/25/18,4.1,1,3.785
,,2,3.387
,,3,2.73
,,4,3.034
5/25/18,3.2,1,2.318
,,2,2.315
,,3,2.351
,,4,2.851
,,5,2.645
,,6,2.761
,,7,2.665
,,8,2.333
,,9,2.821
,,10,2.605
5/25/18,4.6,1,3.075
,,2,2.617
,,3,2.98
,,4,2.676
,,5,2.76
,,6,2.987
,,7,2.864
5/25/18,2.3,1,2.83
,,2,2.576
,,3,3.203
,,4,2.946
,,5,2.579
,,6,3.366
,,7,2.546
,,8,3.058
,,9,2.679
,,10,2.673
5/25/18,3.1,1,2.25
,,2,2.766
,,3,2.83
,,4,2.914
,,5,2.814
,,6,2.64
6/4/18,1.2,1,2.797
,,2,2.986
6/4/18,2.6,1,2.338
,,2,2.664
,,3,2.576
,,4,2.709
,,5,2.579
,,6,2.58
5/25/18,1.6,1,2.425
,,2,2.951
,,3,2.782
,,4,2.885
5/25/18,3.7,1,2.762
5/24/18,2.4,1,3.535
,,2,2.862
5/24/18,2.7,1,3.068
,,2,3.414
,,3,3.098
,,4,2.684
,,5,2.972
,,6,3.064
,,7,3.152
,,8,3.008
,,9,2.728
5/25/18,1.7,1,2.58
,,2,2.873
5/25/18,2.2,1,2.863
,,2,2.402
,,3,2.753
,,4,2.587
,,5,2.154
,,6,2.271
,,7,2.652
5/25/18,2.5,1,3.026
,,2,2.795
5/25/18,2.4,0,
5/25/18,3.3,1,2.48
5/25/18,4.7,1,2.514
,,2,2.517
,,3,2.785
,,4,2.894
5/24/18,1.5,1,2.755
5/24/18,3.6,1,2.552
,,2,2.963
,,3,2.906
5/24/18,3.5,1,2.698
,,2,2.929
,,3,2.779
,,4,2.891
5/24/18,3.1,1,2.87
,,2,3.047
,,3,2.809
,,4,2.935
,,5,2.629
,,6,2.565
,,7,2.763
,,8,2.934
,,9,2.738
,,10,2.688
,,11,2.935
5/24/18,4.2,1,2.514
,,2,3.028
,,3,2.979
,,4,2.941
,,5,2.319
5/24/18,4.4,1,2.44
,,2,2.422
,,3,2.532
,,4,3.045
,,5,3.183
,,6,2.487
,,7,2.083
,,8,2.483
,,9,2.63
,,10,2.805
5/24/18,2.7,1,2.415
,,2,3.11
,,3,2.679
4/1/18,2.6,1,2.514
,,2,2.805
4/7/18,1.7,1,2.771
3/29/18,4.2,1,3.428
,,2,2.884
3/29/18,4.7,1,3.249
4/5/18,2.5,1,2.298
,,2,3.423
,,3,3.376
4/13/18,4.7,1,2.867
,,2,2.936
,,3,2.555
,,4,2.359
5/7/18,3.6,1,2.879
,,2,2.108
,,3,2.938
,,4,2.836
5/7/18,3.1,1,2.791
,,2,3.295
,,3,2.74
4/5/18,3.3,1,3.567
5/7/18,1.6,1,2.722
4/5/18,1.7,1,3.278
,,2,3.025
,,3,3.14
,,4,3.129
,,5,3.677
4/5/18,1.2,1,3.513
,,2,3.068
,,3,2.833
4/5/18,2.3,1,3.104
,,2,2.933
,,3,3.584
,,4,3.103
,,5,3.083
4/20/18,3.7,1,2.774
,,2,2.896
,,3,3.728
4/16/18,4.6,1,2.916
,,2,2.754
4/5/18,1.6,1,2.513
,,2,2.83
,,3,3.182
,,4,2.678
5/14/18,3.3,1,2.547
5/4/18,2.2,1,2.875
,,2,3.099
,,3,2.995
,,4,3.284
4/1/18,1.3,1,3.478
,,2,3.157
4/16/18,2.2,1,3.185
,,2,2.235
4/1/18,2.2,1,2.749
,,2,3.231
3/29/18,3.2,1,2.498
,,2,2.989
,,3,2.18
4/1/18,1.5,1,2.555
,,2,3.191
1/4/18,1.6,1,2.918
,,2,2.971
,,3,2.987
,,4,3.414
5/14/18,4.1,1,2.528
,,2,3.285
,,3,2.83
4/13/18,4.6,1,2.989
,,2,2.29
,,3,2.852
,,4,2.896
4/13/18,2.2,1,3.345
,,2,3.271
,,3,3.285
,,4,3.309
5/7/18,3.2,1,2.641
,,2,3.078
,,3,2.951
4/16/18,3.7,1,3.1
,,2,2.945
,,3,3.397
5/7/18,2.1,1,3.303
,,2,3.453
3/29/18,2.4,1,3.389
,,2,3.08
5/14/18,2.3,1,3.241
,,2,3.166
,,3,3.263
,,4,3.451
,,5,3.488
4/1/18,2.5,1,2.886
5/7/18,2.1,1,2.758
,,2,2.562
,,3,3.515
5/7/18,1.5,1,3.128
,,2,3.308
,,3,3.38
4/16/18,3.3,1,3.826
,,2,3.261
5/7/18,2.6,1,2.993
,,2,3.196
,,3,2.53
4/16/18,4.1,1,2.546
,,2,3.081
,,3,2.562
,,4,2.419
,,5,3.245
4/13/18,4.1,1,2.24
5/7/18,1.3,1,2.912
,,2,2.768
,,3,3
4/1/18,1.7,1,2.901
,,2,2.845
,,3,2.825
,,4,3.228
,,5,3.126
3/29/18,1.5,1,3.301
,,2,2.979
,,3,3.286
4/13/18,2.2,1,3.238
,,2,3.239
,,3,3.212
4/1/18,1.2,1,3.231
4/1/18,3.7,1,2.984
,,2,3.485
,,3,3.444
5/7/18,3.3,1,2.895
,,2,2.753
5/7/18,4.7,1,2.963
,,2,3.022
,,3,2.938
,,4,3.032
4/13/18,2.5,1,3.528
,,2,3.464
,,3,3.12
,,4,3.195
