date,id,drone.number,it.distance,treatment
2018-05-25,2.1,1,3.604,zone.2
2018-05-25,2.1,2,2.858,zone.2
2018-05-25,2.1,3,2.978,zone.2
2018-05-25,2.1,4,2.855,zone.2
2018-05-25,2.1,5,2.942,zone.2
2018-05-25,2.1,6,0.319,zone.2
2018-05-25,2.1,7,2.948,zone.2
2018-05-25,4.1,1,3.785,zone.4
2018-05-25,4.1,2,3.387,zone.4
2018-05-25,4.1,3,2.73,zone.4
2018-05-25,4.1,4,3.034,zone.4
2018-05-25,3.2,1,2.318,zone.3
2018-05-25,3.2,2,2.315,zone.3
2018-05-25,3.2,3,2.351,zone.3
2018-05-25,3.2,4,2.851,zone.3
2018-05-25,3.2,5,2.645,zone.3
2018-05-25,3.2,6,2.761,zone.3
2018-05-25,3.2,7,2.665,zone.3
2018-05-25,3.2,8,2.333,zone.3
2018-05-25,3.2,9,2.821,zone.3
2018-05-25,3.2,10,2.605,zone.3
2018-05-25,4.6,1,3.075,zone.4
2018-05-25,4.6,2,2.617,zone.4
2018-05-25,4.6,3,2.98,zone.4
2018-05-25,4.6,4,2.676,zone.4
2018-05-25,4.6,5,2.76,zone.4
2018-05-25,4.6,6,2.987,zone.4
2018-05-25,4.6,7,2.864,zone.4
2018-05-25,2.3,1,2.83,zone.2
2018-05-25,2.3,2,2.576,zone.2
2018-05-25,2.3,3,3.203,zone.2
2018-05-25,2.3,4,2.946,zone.2
2018-05-25,2.3,5,2.579,zone.2
2018-05-25,2.3,6,3.366,zone.2
2018-05-25,2.3,7,2.546,zone.2
2018-05-25,2.3,8,3.058,zone.2
2018-05-25,2.3,9,2.679,zone.2
2018-05-25,2.3,10,2.673,zone.2
2018-05-25,3.1,1,2.25,zone.3
2018-05-25,3.1,2,2.766,zone.3
2018-05-25,3.1,3,2.83,zone.3
2018-05-25,3.1,4,2.914,zone.3
2018-05-25,3.1,5,2.814,zone.3
2018-05-25,3.1,6,2.64,zone.3
2018-06-04,1.2,1,2.797,zone.1
2018-06-04,1.2,2,2.986,zone.1
2018-06-04,2.6,1,2.338,zone.2
2018-06-04,2.6,2,2.664,zone.2
2018-06-04,2.6,3,2.576,zone.2
2018-06-04,2.6,4,2.709,zone.2
2018-06-04,2.6,5,2.579,zone.2
2018-06-04,2.6,6,2.58,zone.2
2018-05-25,1.6,1,2.425,zone.1
2018-05-25,1.6,2,2.951,zone.1
2018-05-25,1.6,3,2.782,zone.1
2018-05-25,1.6,4,2.885,zone.1
2018-05-25,3.7,1,2.762,zone.3
2018-05-24,2.4,1,3.535,zone.2
2018-05-24,2.4,2,2.862,zone.2
2018-05-24,2.7,1,3.068,zone.2
2018-05-24,2.7,2,3.414,zone.2
2018-05-24,2.7,3,3.098,zone.2
2018-05-24,2.7,4,2.684,zone.2
2018-05-24,2.7,5,2.972,zone.2
2018-05-24,2.7,6,3.064,zone.2
2018-05-24,2.7,7,3.152,zone.2
2018-05-24,2.7,8,3.008,zone.2
2018-05-24,2.7,9,2.728,zone.2
2018-05-25,1.7,1,2.58,zone.1
2018-05-25,1.7,2,2.873,zone.1
2018-05-25,2.2,1,2.863,zone.2
2018-05-25,2.2,2,2.402,zone.2
2018-05-25,2.2,3,2.753,zone.2
2018-05-25,2.2,4,2.587,zone.2
2018-05-25,2.2,5,2.154,zone.2
2018-05-25,2.2,6,2.271,zone.2
2018-05-25,2.2,7,2.652,zone.2
2018-05-25,2.5,1,3.026,zone.2
2018-05-25,2.5,2,2.795,zone.2
2018-05-25,3.3,1,2.48,zone.3
2018-05-25,4.7,1,2.514,zone.4
2018-05-25,4.7,2,2.517,zone.4
2018-05-25,4.7,3,2.785,zone.4
2018-05-25,4.7,4,2.894,zone.4
2018-05-24,1.5,1,2.755,zone.1
2018-05-24,3.6,1,2.552,zone.3
2018-05-24,3.6,2,2.963,zone.3
2018-05-24,3.6,3,2.906,zone.3
2018-05-24,3.5,1,2.698,zone.3
2018-05-24,3.5,2,2.929,zone.3
2018-05-24,3.5,3,2.779,zone.3
2018-05-24,3.5,4,2.891,zone.3
2018-05-24,3.1,1,2.87,zone.3
2018-05-24,3.1,2,3.047,zone.3
2018-05-24,3.1,3,2.809,zone.3
2018-05-24,3.1,4,2.935,zone.3
2018-05-24,3.1,5,2.629,zone.3
2018-05-24,3.1,6,2.565,zone.3
2018-05-24,3.1,7,2.763,zone.3
2018-05-24,3.1,8,2.934,zone.3
2018-05-24,3.1,9,2.738,zone.3
2018-05-24,3.1,10,2.688,zone.3
2018-05-24,3.1,11,2.935,zone.3
2018-05-24,4.2,1,2.514,zone.4
2018-05-24,4.2,2,3.028,zone.4
2018-05-24,4.2,3,2.979,zone.4
2018-05-24,4.2,4,2.941,zone.4
2018-05-24,4.2,5,2.319,zone.4
2018-05-24,4.4,1,2.44,zone.4
2018-05-24,4.4,2,2.422,zone.4
2018-05-24,4.4,3,2.532,zone.4
2018-05-24,4.4,4,3.045,zone.4
2018-05-24,4.4,5,3.183,zone.4
2018-05-24,4.4,6,2.487,zone.4
2018-05-24,4.4,7,2.083,zone.4
2018-05-24,4.4,8,2.483,zone.4
2018-05-24,4.4,9,2.63,zone.4
2018-05-24,4.4,10,2.805,zone.4
2018-05-24,2.7,1,2.415,zone.2
2018-05-24,2.7,2,3.11,zone.2
2018-05-24,2.7,3,2.679,zone.2
2018-04-01,2.6,1,2.514,zone.2
2018-04-01,2.6,2,2.805,zone.2
2018-04-07,1.7,1,2.771,zone.1
2018-03-29,4.2,1,3.428,zone.4
