date,id,n.drones,drone.mass,avg.individ.mass
05/25/18,2.1,5,0.89716,0.1794
05/25/18,4.1,4,0.43059,0.1076
05/25/18,3.2,10,0.94312,0.0943
05/25/18,4.6,7,0.75875,0.1084
05/25/18,2.3,10,1.11461,0.1115
05/25/18,3.1,6,0.66816,0.1114
06/04/18,1.2,2,0.23008,0.1150
06/04/18,2.6,6,0.54158,0.0903
05/25/18,1.6,4,0.38238,0.0956
05/25/18,3.7,1,0.06418,0.0642
05/24/18,3.4,2,0.19636,0.0982
05/24/18,2.7,9,1.28377,0.1426
05/25/18,1.7,2,0.21031,0.1052
05/25/18,2.2,7,0.54644,0.0781
05/25/18,2.5,2,0.07437,0.0372
05/25/18,2.4,0,0.00000,NA
05/25/18,3.3,1,0.07330,0.0733
05/25/18,4.7,4,0.20606,0.0515
05/24/18,1.5,1,0.11455,0.1146
05/24/18,3.6,2,0.22456,0.1123
05/24/18,3.5,4,0.52452,0.1311
05/24/18,3.1,11,1.30796,0.1189
05/24/18,4.2,5,0.50390,0.1008
05/24/18,4.4,10,1.04010,0.1040
05/24/18,2.7,3,0.36273,0.1209
04/01/18,2.6,2,0.21721,0.1086
05/07/18,1.7,1,0.09249,0.0925
03/29/18,4.2,2,0.28616,0.1431
03/29/18,4.7,1,0.22974,0.2297
04/05/18,2.5,3,0.42966,0.1432
04/13/18,4.7,4,0.37367,0.0934
05/07/18,3.6,4,0.44368,0.1109
05/07/18,3.1,3,0.37369,0.1246
04/05/18,3.3,1,0.17839,0.1784
05/07/18,1.6,1,0.08416,0.0842
04/05/18,1.7,5,0.59866,0.1197
04/05/18,1.2,3,0.30142,0.1005
04/05/18,2.3,5,0.69604,0.1392
04/20/18,3.7,3,0.34886,0.1163
04/16/18,4.6,2,0.23052,0.1153
04/05/18,1.6,4,0.36339,0.0908
05/14/18,3.3,1,0.05997,0.0600
05/04/18,2.2,4,0.63133,0.1578
05/01/18,1.3,2,0.27354,0.1368
04/16/18,2.2,2,0.19024,0.0951
04/01/18,2.2,2,0.25588,0.1279
03/29/18,3.2,3,0.30737,0.1025
04/01/18,1.5,2,0.25358,0.1268
04/01/18,1.6,4,0.51320,0.1283
05/14/18,4.1,3,0.37784,0.1259
04/13/18,4.6,4,0.28617,0.0715
04/13/18,2.2,2,0.57747,0.2887
