,Sample information,,,Demography,,,,,,microcolony level,,,food remaining,,food provided,,culling,,room conditions,
ID,date,time,initials,n new drones,n total drones,n worker deaths,age class,workers replaced?,drones removed?,activity code,dominant worker,microcolony mass,pollen mass,nectar mass,pollen mass,nectar mass,n culled,frozen? ,temp,humidity
3.3,3/15,19:12,jH,0,0,1,A,Yes,,C,-,435.46,-,-,-,14.23,-,,28.8,60
3.3,3/18,,jH,,,,A,,,,-,435.91,-,9.87,1.14,15.07,,,,
3.3,3/22,,jH,0,0,0,A,,,"C,F",-,436.63,-,9.21,1.01,13.57,,,26.6,66
3.3,3/26,,jH,0,0,-,A,,,C,-,437.38,2.65,7.56,1.19,14.53,,,26.1,58
3.3,3/29,,jH,2,2,0,A,,2/2,C,-,436.82,-,8.44,3.15,27.13,-,,26.4,49
3.3,4/1,,jH,0,0,0,A,,,A,-,438.9,-,21.99,3.07,26.39,-,,25.8,42
3.3,4/5,,jH,2,2,0,A,,1/2,C,-,442.13,-,17.58,3.1,25.16,-,,24,52
3.3,4/9,,jH,1,2,0,A,,0/2,C,-,445.38,6.88,15.96,1.09,13.8,-,,26.4,45
3.3,4/13,,jH,0,2,0,A,,2/2,A,-,439.55,-,6.86,1.06,13.57,-,,26.4,56
3.3,4/16,,jH,2,2,0,A,,2/2,,-,438.64,-,7.89,1.05,14.09,-,,31.1,26
3.3,4/20,,jH,4,4,0,A,,3/4,A,-,438.9,-,7.24,1.13,15.1,-,,26.7,53
3.3,4/24,,jH,2,3,0,A,,3/3,A,-,439.18,1.65,7.74,3.09,24.57,-,,25.7,53
3.3,4/28,,,,,,,,,,,,-,13.84,3.08,24.41,,,,
3.3,5/2,,jH,4,4,,,,4/4,,-,444.58,-,16.59,2.98,26.19,-,,26.3,59
3.3,5/7,,jH,2,2,0,,,2/2,"A,C",-,446.97,7.27,17.96,1.11,15.13,,,26.2,44
3.3,5/11,,,,,,,,,,,,,10.4,1.1,13.7,,,,
3.3,5/14,,jH,1,1,1,A,,1/1,"C,L",-,440.03,-,9.42,1.11,15.05,-,,26.3,54
1.6,3/15,,jH,-,-,0,A,,,A,-,435.05,-,-,-,13.93,-,,28,59
1.6,3/18,,jH,,,,,,,,-,435.8,-,,1.09,13.56,,,,
1.6,3/22,,jH,-,-,0,A,,,C,-,435.14,-,7.11,1.01,14.61,,,26.6,65
1.6,3/26,,jH,-,-,0,A,,,"C,F",-,436.14,0.52,6,1.14,14.19,,,26.1,58
1.6,3/29,,jH,2,2,0,A,,1/2,A,-,436.31,-,6.52,1.09,14.15,,,26.5,49
1.6,4/1,,jH,4,5,0,A,,4/5,A,-,436.34,-,7.1,1.05,14.62,-,,25.8,42
1.6,4/5,,jH,4,5,0,A,,4/5,L,-,436.06,-,6.86,1.08,14.67,-,,24.3,50
