id,date,n_new_drones,n_drones,n_worker_deaths,workers_replaced,drones_removed,activity,mc_mass,p_mass_rm,n_mass_rm,p_mass_fd,n_mass_fd,temp,humidity,mass_box.x,treatment,true_mc_mass,mass_box.y
3.3,2018-03-15,0,0,1,Yes,NA,C,435.46,NA,NA,NA,14.23,28.8,60,433.61,zone.3,NA,433.61
3.3,2018-03-18,NA,NA,NA,NA,NA,NA,435.91,NA,9.87,1.14,15.07,NA,NA,433.61,zone.3,NA,433.61
3.3,2018-03-22,0,0,0,NA,NA,"C,F",436.63,NA,9.21,1.01,13.57,26.6,66,433.61,zone.3,1.879999999999982,433.61
3.3,2018-03-26,0,0,NA,NA,NA,C,437.38,2.65,7.56,1.19,14.53,26.1,58,433.61,zone.3,2.759999999999982,433.61
3.3,2018-03-29,2,2,0,NA,2,C,436.82,NA,8.44,3.15,27.13,26.4,49,433.61,zone.3,2.0199999999999796,433.61
3.3,2018-04-01,0,0,0,NA,NA,A,438.9,NA,21.99,3.07,26.39,25.8,42,433.61,zone.3,2.1399999999999637,433.61
3.3,2018-04-05,2,2,0,NA,1,C,442.13,NA,17.58,3.1,25.16,24,52,433.61,zone.3,5.4499999999999815,433.61
3.3,2018-04-09,1,2,0,NA,0,C,445.38,6.88,15.96,1.09,13.8,26.4,45,433.61,zone.3,8.669999999999982,433.61
3.3,2018-04-13,0,2,0,NA,2,A,439.55,NA,6.86,1.06,13.57,26.4,56,433.61,zone.3,4.849999999999998,433.61
3.3,2018-04-16,2,2,0,NA,2,NA,438.64,NA,7.89,1.05,14.09,31.1,26,433.61,zone.3,3.9699999999999727,433.61
3.3,2018-04-20,4,4,0,NA,3,A,438.9,NA,7.24,1.13,15.1,26.7,53,433.61,zone.3,4.239999999999964,433.61
3.3,2018-04-24,2,3,0,NA,3,A,439.18,1.65,7.74,3.09,24.57,25.7,53,433.61,zone.3,4.439999999999993,433.61
3.3,2018-04-28,NA,NA,NA,NA,NA,NA,NA,NA,13.84,3.08,24.41,NA,NA,433.61,zone.3,NA,433.61
3.3,2018-05-02,4,4,NA,NA,4,NA,444.58,NA,16.59,2.98,26.19,26.3,59,433.61,zone.3,7.88999999999997,433.61
3.3,2018-05-07,2,2,0,NA,2,"A,C",446.97,7.27,17.96,1.11,15.13,26.2,44,433.61,zone.3,10.380000000000013,433.61
3.3,2018-05-11,NA,NA,NA,NA,NA,NA,NA,NA,10.4,1.1,13.7,NA,NA,433.61,zone.3,NA,433.61
3.3,2018-05-14,1,1,1,NA,1,"C,L",440.03,NA,9.42,1.11,15.05,26.3,54,433.61,zone.3,5.319999999999959,433.61
1.6,2018-03-15,NA,NA,0,NA,NA,A,435.05,NA,NA,NA,13.93,28,59,427.24,zone.1,NA,427.24
1.6,2018-03-18,NA,NA,NA,NA,NA,NA,435.8,NA,NA,1.09,13.56,NA,NA,427.24,zone.1,NA,427.24
