id,date,mc_mass,p_mass_rm,p_mass_fd,n_mass_fd,n_mass_rm,treatment,fd_day,p_mass_cons,p_mass_cons_avg,n_mass_cons,fd_day_count,fd.day.count,mc_mass_init,mc_mass_true,mc_mass_true_intrp,pulse_cat
1.2,2018-03-15,436.18,0,2,14.04,0,zone.1,1,NA,1.0133333333333334,0,3,1,434.18,0.8633333333333333,0.8633333333333333,b1
1.2,2018-03-18,436.76,NA,1.17,15.07,6.96,zone.1,2,NA,1.0133333333333334,7.079999999999999,2,2,434.18,1.5933333333333175,1.5933333333333175,b1
1.2,2018-03-22,437.3,NA,1.01,14.21,7.69,zone.1,3,NA,1.0133333333333334,7.38,1,3,434.18,4.133333333333338,4.133333333333338,b1
1.2,2018-03-26,438.52,1.14,1.03,14.84,7.27,zone.1,4,3.04,0.6100000000000002,6.940000000000001,3,0,434.18,2.7699999999999756,2.7699999999999756,b1
1.2,2018-03-29,438.21,NA,1.04,14.35,7.79,zone.1,5,NA,0.6100000000000002,7.05,2,1,434.18,3.609999999999973,3.609999999999973,p1
1.2,2018-04-01,437.76,NA,1.08,15.63,7.49,zone.1,6,NA,0.6100000000000002,6.859999999999999,1,2,434.18,4.189999999999984,4.189999999999984,p1
1.2,2018-04-05,438.17,NA,1.07,14.31,7.28,zone.1,7,NA,0.6100000000000002,8.350000000000001,0,3,434.18,1.450000000000009,1.450000000000009,p1
1.2,2018-04-09,438.49,2.39,1.04,13.91,6.46,zone.1,8,1.8300000000000005,0.6000000000000002,7.8500000000000005,3,0,434.18,2.760000000000002,2.760000000000002,a1.b2
1.2,2018-04-13,437.28,NA,1.12,13.35,6.64,zone.1,9,NA,0.6000000000000002,7.2700000000000005,2,1,434.18,2.659999999999966,2.659999999999966,a1.b2
1.2,2018-04-16,436.8,NA,1.03,14.24,7.83,zone.1,10,NA,0.6000000000000002,5.52,1,2,434.18,3.2200000000000046,3.2200000000000046,a1.b2
1.2,2018-04-20,437.46,NA,1.11,13.56,7.78,zone.1,11,NA,0.6000000000000002,6.46,0,3,434.18,0.6899999999999725,0.6899999999999725,a1.b2
1.2,2018-04-24,438.92,2.5,1.07,13.71,7.26,zone.1,12,1.8000000000000007,0.24249999999999994,6.300000000000001,3,0,434.18,2.8425000000000082,2.8425000000000082,p2
1.2,2018-04-28,NA,NA,1.06,12.36,7.53,zone.1,13,NA,0.24249999999999994,6.180000000000001,2,1,434.18,NA,4.372499999999988,p2
1.2,2018-05-02,439.84,NA,1.01,14.21,7.99,zone.1,14,NA,0.24249999999999994,4.369999999999999,1,2,434.18,5.902499999999968,5.902499999999968,p2
1.2,2018-05-07,440.44,2.17,1.04,14.39,7.65,zone.1,15,0.9699999999999998,NA,6.5600000000000005,3,3,434.18,NA,4.981666666666645,a2
1.2,2018-05-11,NA,NA,1.01,13.49,6.76,zone.1,16,NA,NA,7.630000000000001,2,1,434.18,NA,4.060833333333322,a2
1.2,2018-05-14,439.2,NA,1.06,14.2,6.54,zone.1,17,NA,NA,6.95,1,2,434.18,3.14,3.14,a2
1.3,2018-03-15,441.01,0,2,13.34,0,zone.1,1,NA,0.36666666666666653,0,3,1,439.01,0.25666666666666643,0.25666666666666643,b1
1.3,2018-03-18,440.43,NA,1.1,13.98,7.69,zone.1,2,NA,0.36666666666666653,5.6499999999999995,2,2,439.01,-0.21333333333331755,-0.21333333333331755,b1
1.3,2018-03-22,440.55,NA,1,13.98,7.56,zone.1,3,NA,0.36666666666666653,6.420000000000001,1,3,439.01,1.906666666666687,1.906666666666687,b1
1.3,2018-03-26,441.96,3,1.06,13.93,6.73,zone.1,4,1.0999999999999996,0.5200000000000001,7.25,3,0,439.01,1.3699999999999886,1.3699999999999886,b1
1.3,2018-03-29,440.08,NA,1.06,14.52,7.73,zone.1,5,NA,0.5200000000000001,6.199999999999999,2,1,439.01,0.5299999999999933,0.5299999999999933,p1
1.3,2018-04-01,440.92,NA,1.13,14.77,6.98,zone.1,6,NA,0.5200000000000001,7.539999999999999,1,2,439.01,2.430000000000025,2.430000000000025,p1
1.3,2018-04-05,440.63,NA,1.07,14.33,7.3,zone.1,7,NA,0.5200000000000001,7.47,0,3,439.01,-1.1099999999999954,-1.1099999999999954,p1
1.3,2018-04-09,440.79,2.76,1.04,14.18,7.14,zone.1,8,1.5600000000000005,0.69,7.19,3,0,439.01,0.27000000000002955,0.27000000000002955,a1.b2
