Microcolony Code,Date,Time,Initials,Temp,Humidity,Activity Code,MC Mass,n Total Drones,n New Drones,n Worker Deaths,Brood Code,work repl,drone rm,P Mass Remain,N Mass Remain,P Mass Provid,N Mass Provid
1.4,6/21/18,11:11 AM,AF,25.9,60,C,426.21,0,0,0,EH,,,N/A,N/A,1.0033,14.3036
1.4,6/25/18,10:55 AM,AF,25.5,36,C,423.85,0,0,1,EH,1,,N/A,9.89,0.9925,14.6372
1.4,6/28/18,12:38 PM,AF,25.7,58,C,424.48,0,0,0,EH,,,4.48,10.82,1.0103,14.6899
1.4,7/1/18,2:11 PM,AF,25.3,56,CF,421.79,0,0,0,EHP,,,N/A,8.53,0.9881,12.4949
1.4,7/4/18,4:22 PM,AF,23.8,57,CF,422.36,0,0,0,EHP,,,N/A,9.69,1.0001,16.0847
1.4,7/7/18,4:03 PM,AF,25.3,51,CF,423.19,2,2,0,EHP,,,2.99,8.78,1.032,16.1522
1.4,7/10/18,12:34 PM,AF,25.4,55,C,421.23,2,0,0,EHP,,0,N/A,9.68,1.0034,15.0846
1.4,7/13/18,11:34 AM,AF,25.9,59,AL,421.72,2,0,0,EHP,,2,N/A,10.41,1.0161,13.7549
1.4,7/16/18,11:51 AM,AF,25.4,60,C,422.28,0,0,0,EHP,,,3.5,11.36,1.0285,15.206
1.4,7/19/18,10:59 AM,AF,25.5,56,C,420.62,0,0,0,EHP,,,N/A,12.14,1.0164,14.5553
1.4,7/23/18,1:01 PM,AF,25.9,57,C,421.73,0,0,0,EHP,,,N/A,8.86,1.02,13.93
1.4,7/26/18,10:32 AM,AF,25.3,54,C,422.9,0,0,0,EHP,,,2.59,8.65,1,14.03
1.4,7/29/18,12:03 PM,AF,25.4,58,C,421.03,0,0,0,EHP,,,N/A,7.21,1.03,13.38
1.4,8/2/18,9:24 AM,AF,25.5,55,C,422.15,0,0,1,EHP,1,,N/A,8.7,1,14.41
1.4,8/6/18,10:57 AM,AF,25.4,60,CF,422.41,0,0,0,EP,,,2.14,6.88,1,13.57
1.4,8/9/18,8:30 AM,AF,25.5,61,C,421.35,0,0,1,EP,1,,N/A,9.18,1.02,13.72
