id,date,temp,humidity,activity,mc_mass,n_drones,n_new_drones,n_worker_deaths,brood,workers_replaced,drones_removed,p_mass_rm,n_mass_rm,p_mass_fd,n_mass_fd,mass_box,end_mass_comb,treatment
1.4,6/21/18,25.9,60,C,426.21,0,0,0,EH,NA,NA,NA,NA,1.0033,14.3036,430.5119048,0.8529,zone.1
1.4,6/25/18,25.5,36,C,423.85,0,0,1,EH,1,NA,NA,9.89,0.9925,14.6372,430.5119048,0.8529,zone.1
1.4,6/28/18,25.7,58,C,424.48,0,0,0,EH,NA,NA,4.48,10.82,1.0103,14.6899,430.5119048,0.8529,zone.1
1.4,7/1/18,25.3,56,CF,421.79,0,0,0,EHP,NA,NA,NA,8.53,0.9881,12.4949,430.5119048,0.8529,zone.1
1.4,7/4/18,23.8,57,CF,422.36,0,0,0,EHP,NA,NA,NA,9.69,1.0001,16.0847,430.5119048,0.8529,zone.1
1.4,7/7/18,25.3,51,CF,423.19,2,2,0,EHP,NA,NA,2.99,8.78,1.032,16.1522,430.5119048,0.8529,zone.1
1.4,7/10/18,25.4,55,C,421.23,2,0,0,EHP,NA,0,NA,9.68,1.0034,15.0846,430.5119048,0.8529,zone.1
1.4,7/13/18,25.9,59,AL,421.72,2,0,0,EHP,NA,2,NA,10.41,1.0161,13.7549,430.5119048,0.8529,zone.1
1.4,7/16/18,25.4,60,C,422.28,0,0,0,EHP,NA,NA,3.5,11.36,1.0285,15.206,430.5119048,0.8529,zone.1
1.4,7/19/18,25.5,56,C,420.62,0,0,0,EHP,NA,NA,NA,12.14,1.0164,14.5553,430.5119048,0.8529,zone.1
1.4,7/23/18,25.9,57,C,421.73,0,0,0,EHP,NA,NA,NA,8.86,1.02,13.93,430.5119048,0.8529,zone.1
1.4,7/26/18,25.3,54,C,422.9,0,0,0,EHP,NA,NA,2.59,8.65,1,14.03,430.5119048,0.8529,zone.1
1.4,7/29/18,25.4,58,C,421.03,0,0,0,EHP,NA,NA,NA,7.21,1.03,13.38,430.5119048,0.8529,zone.1
1.4,8/2/18,25.5,55,C,422.15,0,0,1,EHP,1,NA,NA,8.7,1,14.41,430.5119048,0.8529,zone.1
1.4,8/6/18,25.4,60,CF,422.41,0,0,0,EP,NA,NA,2.14,6.88,1,13.57,430.5119048,0.8529,zone.1
1.4,8/9/18,25.5,61,C,421.35,0,0,1,EP,1,NA,NA,9.18,1.02,13.72,430.5119048,0.8529,zone.1
3.4,6/21/18,26.4,61,AC,428.46,0,0,0,EH,NA,NA,NA,NA,1.0032,13.6888,429.6,1.5166,zone.3
3.4,6/24/18,25.9,60,A,428.95,0,0,0,EHP,NA,NA,NA,7.03,1.0181,13.7758,429.6,1.5166,zone.3
3.4,6/27/18,26.7,60,ACF,429.84,0,0,0,HP,NA,NA,3.82,6.69,1.023,15.5442,429.6,1.5166,zone.3
3.4,6/30/18,25.6,58,CF,427.49,0,0,4,EHP,1,NA,NA,7.88,3.9207,26.1392,429.6,1.5166,zone.3
3.4,7/3/18,26,59,ACF,431.22,1,1,1,EHP,1,NA,NA,20.34,3.8913,26.2533,429.6,1.5166,zone.3
3.4,7/6/18,25.6,55,C,434.8,1,0,0,EHP,NA,NA,8.56,21.58,3.9303,15.2558,429.6,1.5166,zone.3
3.4,7/9/18,25.7,60,CF,429.79,1,1,1,EH,1,NA,NA,19.9,1.0158,13.9694,429.6,1.5166,zone.3
3.4,7/12/18,26.1,61,AC,430.8,2,1,0,EH,NA,2,NA,8.24,0.998,14.1672,429.6,1.5166,zone.3
3.4,7/15/18,25.5,62,C,429.66,0,0,0,EH,NA,NA,5.13,8.72,1.0173,13.6828,429.6,1.5166,zone.3
3.4,7/18/18,25.9,59,C,426.11,0,0,1,EHP,1,NA,NA,8.61,0.986,15.3836,429.6,1.5166,zone.3
3.4,7/23/18,25.8,60,C,430.8,0,0,1,EHP,1,NA,NA,4.99,3.8,23.2,429.6,1.5166,zone.3
3.4,7/24/18,25.2,37,C,432.24,0,0,0,EHP,NA,NA,6.83,19.96,3.89,26.03,429.6,1.5166,zone.3
3.4,7/27/18,25.5,59,C,431.35,0,0,1,EHP,1,NA,NA,17.8,3.91,26.99,429.6,1.5166,zone.3
3.4,7/30/18,25.5,61,C,434.62,0,0,0,EHP,NA,NA,NA,20.13,1,14.42,429.6,1.5166,zone.3
3.4,8/2/18,23.6,62,C,434.04,0,0,0,EP,NA,NA,6.19,6.46,1,13.67,429.6,1.5166,zone.3
3.4,8/5/18,25.7,62,C,429.34,0,0,0,EP,NA,NA,NA,8,1.01,13.5,429.6,1.5166,zone.3
2.7,6/21/18,25.4,61,A,422.94,0,0,0,H,NA,NA,NA,NA,2.0398,17.0771,423.87,4.9337,zone.2
2.7,6/24/18,26.1,61,AC,424.39,0,0,0,EH,NA,NA,NA,11.83,2.0002,16.6356,423.87,4.9337,zone.2
2.7,6/27/18,26.7,59,AC,426.06,0,0,0,EHP,NA,NA,5.89,11.11,2.042,17.5409,423.87,4.9337,zone.2
2.7,6/30/18,26.3,64,C,422.25,0,0,1,EHP,1,NA,NA,11.33,2.003,17.1465,423.87,4.9337,zone.2
2.7,7/3/18,26.1,61,AC,426.47,0,0,0,EHP,NA,NA,NA,10.66,1.9922,17.757,423.87,4.9337,zone.2
2.7,7/6/18,25.8,54,C,425.98,1,1,0,EHP,NA,NA,5.92,12.07,2.0106,17.3823,423.87,4.9337,zone.2
2.7,7/9/18,26,60,C,421.61,1,0,1,EHP,1,NA,NA,14.55,2.03,17.4953,423.87,4.9337,zone.2
2.7,7/12/18,26.3,62,AC,426.16,2,1,1,EH,1,2,NA,12.51,2.0206,17.3615,423.87,4.9337,zone.2
2.7,7/15/18,25.7,64,C,425.08,1,1,1,EHP,1,1,5.01,12.43,2.0288,17.9905,423.87,4.9337,zone.2
2.7,7/18/18,26,62,C,421.69,0,0,2,EHP,2,NA,NA,16.7,2.0092,17.00369,423.87,4.9337,zone.2
2.7,7/21/18,26,63,C,421.8,0,0,1,EHP,1,NA,NA,8.67,1.98,18.55,423.87,4.9337,zone.2
2.7,7/24/18,25.4,59,C,426.78,0,0,0,EHP,NA,NA,6.03,12.98,2.03,18.57,423.87,4.9337,zone.2
2.7,7/27/18,25.3,61,C,426.83,0,0,0,EHP,NA,NA,NA,8.27,1.98,17.4,423.87,4.9337,zone.2
2.7,7/30/18,25.5,61,C,426.27,2,2,0,EHP,NA,2,NA,9.5,2,17.46,423.87,4.9337,zone.2
2.7,8/2/18,25.7,63,AC,427.06,3,3,0,EHP,NA,3,4.32,7.14,2,17.27,423.87,4.9337,zone.2
2.7,8/5/18,25.7,63,C,425.81,0,0,0,EHP,NA,NA,NA,9.68,2.02,17.57,423.87,4.9337,zone.2
1.3,6/21/18,26.4,60,AC,434.17,0,0,0,EH,NA,NA,NA,NA,1.0948,14.4343,435.04,2.5295,zone.1
1.3,6/24/18,26.5,63,A,436.79,0,0,0,EH,NA,NA,NA,10.01,0.9656,14.4056,435.04,2.5295,zone.1
