id,date,mc_mass,p_mass_rm,p_mass_fd,n_mass_fd,n_mass_rm,mass_box,treatment,fd.day,p_mass_cons,p_mass_cons_avg,n_mass_cons,fd.day.count,mc_mass_true,mc_mass_init,mc_mass_diff,pulse_cat
1.1,2018-06-21,431.09,0,3,NA,NA,430.5119048,zone.1,0,0,NA,NA,0,NA,428.09,NA,b1
1.1,2018-06-21,431.09,NA,1.0878,13.4162,NA,430.5119048,zone.1,1,NA,0.099666667,6.1962,3,3.099666667,428.09,NA,b1
1.1,2018-06-24,431.35,NA,0.9912,13.0067,7.22,430.5119048,zone.1,2,NA,0.099666667,5.6467,2,2.271866667000048,428.09,-0.8277999999999524,b1
1.1,2018-06-27,432.88,4.78,0.9727,13.6571,7.36,430.5119048,zone.1,3,0.299,0.099666667,6.7871,1,2.8106666670000204,428.09,0.5387999999999726,b1
1.1,2018-06-30,430.09,NA,0.9606,11.6712,6.87,430.5119048,zone.1,4,NA,0.133566667,5.3312,3,2.133566667,428.09,-0.6771000000000202,p1
1.1,2018-07-03,431.04,NA,1.0074,14.8163,6.34,430.5119048,zone.1,5,NA,0.133566667,6.6863,2,2.1229666670000458,428.09,-0.010599999999954424,p1
1.1,2018-07-06,432.03,2.54,1.0168,13.6729,8.13,430.5119048,zone.1,6,0.4007,0.133566667,3.2029,1,2.105566666999998,428.09,-0.01740000000004782,p1
1.1,2018-07-09,429.89,NA,1.006,14.1716,10.47,430.5119048,zone.1,7,NA,0.4353,5.4716,3,2.235300000000011,428.09,0.12973333300001322,a1.b2
1.1,2018-07-12,431.57,NA,1.0431,14.1106,8.7,430.5119048,zone.1,8,NA,0.4353,5.3906,2,2.9093000000000178,428.09,0.6740000000000066,a1.b2
1.1,2018-07-15,431.38,1.76,1.0083,14.3152,8.72,430.5119048,zone.1,9,1.3059,0.4353,5.3552,1,1.6762000000000206,428.09,-1.2330999999999972,a1.b2
1.1,2018-07-18,430.22,NA,1.013,14.1555,8.96,430.5119048,zone.1,10,NA,0.5771,7.5955,3,2.707100000000052,428.09,1.0309000000000315,a1.b2
