Microcolony Code,Date,Time,Initials,Temp,Humidity,Activity Code,MC Mass,n Total Drones,n New Drones,n Worker Deaths,Brood Code,Workers Replaced,Drones Removed,Drones Frozen?,P Mass Remain,N Mass Remain,P Mass Provided,N Mass Provid,Notes
1.1,11/13/18,21:37,GW,27.7,74,C,431.21,0,0,0,H,,,,,18.1,1.04,13.21,
1.1,11/16/18,4:40 PM,GW,26.1,52,C,432.03,0,0,1,"E,H",1-Jan,,,,8.74,1.03,15.15,
1.1,11/20/18,7:01 PM,GW,26.4,35,C,432.9,0,0,0,"E,H",,,,3.12,8.05,0.98,14,
1.1,11/25/18,2:33 PM,GW,26.2,63,C,430.52,0,0,0,E,,,,,7.93,1.01,13.65,
1.1,11/28/18,8:18 PM,GW,25.9,60,C,431.8,0,0,1,"E,P",1-Jan,,,,7.9,1.01,13.84,
1.1,12/1/18,1:30 PM,JH,25.7,52,C,432.76,0,0,0,"E,P",,,,1.08,8.27,1.07,13.93,
1.1,12/6/18,1:40 PM,JH,26.3,47,L,431.88,0,0,0,"E,P",,,,,6.75,1.06,14.63,
1.1,12/9/18,1:07 PM,GW,25.7,55,C,433.1,1,1,0,"E,H,P",,1-Jan,Yes,,8.35,0.97,14.18,
1.1,12/12/18,6:41 PM,GW,24.8,60,C,433.75,3,3,1,"E,H,P",1-Jan,3-Mar,Yes,1.8,8.1,1.04,14.08,
1.1,12/15/18,7:25 PM,GW,25.3,47,C,432.76,2,2,1,"E,H,P",1-Jan,2-Feb,Yes,,8.52,0.97,13.46,
1.1,12/18/18,3:59 PM,GW,24.5,58,C,434.11,0,0,1,"E,H,P",1-Jan,,,,8.57,1.03,13.68,
1.1,12/21/18,1:21 PM,GW,24.2,67,C,434.94,2,2,1,"E,H,P",1-Jan,2-Feb,Yes,2.92,8.99,1,13.76,
1.1,12/26/18,10:00 AM,JH,25.3,58,C,432.4,0,0,1,"E,H",1-Jan,,,,7.68,1.03,14.08,
