Date (2018),Microcolony ID,Number of Drones,Total Mass (g),Average Mass (g),Notes
7/13/18,3.7,1,0.1167,0.1167,
7/13/18,2.3,6,0.8572,0.142866667,
7/13/18,2.4,5,0.7342,0.14684,
7/13/18,1.4,2,0.211,0.1055,
7/13/18,3.5,3,0.3608,0.120266667,
7/13/18,2.5,6,0.7784,0.129733333,
7/19/18,3.3,2,0.1376,0.0688,
7/13/18,1.5,4,0.7091,0.177275,
7/16/18,3.7,1,0.1391,0.1391,
7/16/18,4.3,1,0.0657,0.0657,
7/16/18,4.7,1,0.0836,0.0836,
7/19/18,2.5,1,0.1545,0.1545,
7/13/18,3.6,5,0.6538,0.13076,
7/13/18,3.1,8,0.7506,0.093825,
7/13/18,2.1,2,0.26,0.13,
7/13/18,1.1,1,0.1064,0.1064,
7/13/18,4.7,6,0.5034,0.0839,
7/13/18,4.3,4,0.4426,0.11065,
7/16/18,3.5,1,0.061,0.061,
7/16/18,2.7,1,0.0513,0.0513,
7/13/18,4.4,9,1.254,0.139333333,
7/19/18,1.6,2,0.1298,0.0649,
7/13/18,3.4,2,0.278,0.139,
7/13/18,4.5,4,0.4201,0.105025,
7/13/18,3.2,9,1.2536,0.139288889,
7/13/18,4.6,7,1.0146,0.144942857,
7/13/18,1.6,9,0.9527,0.105855556,
7/16/18,3.1,2,0.1667,0.08335,
8/9/18,1.7,3,0.2935,0.097833333,
8/9/18,2.6,2,0.2274,0.1137,
7/13/18,3.6,1,0.1129,0.1129,
7/16/18,2.2,4,0.3435,0.085875,
7/16/18,1.3,1,0.1274,0.1274,
7/16/18,2.5,2,0.2856,0.1428,
8/9/18,2.2,2,0.2322,0.1161,
8/9/18,1.3,2,0.1523,0.07615,
8/9/18,3.2,6,0.6891,0.11485,
8/6/18,1.5,2,0.1381,0.06905,
8/6/18,1.7,3,0.2731,0.091033333,
8/6/18,3.3,1,0.1361,0.1361,
8/6/18,3.2,3,0.3366,0.1122,
8/6/18,2.5,2,0.185,0.0925,
8/6/18,2.2,3,0.3205,0.106833333,
8/6/18,2.4,2,0.2293,0.11465,
8/9/18,3.3,3,0.3658,0.121933333,
8/2/18,1.3,3,0.3406,0.113533333,
8/2/18,2.7,2,0.2394,0.1197,
8/6/18,3.7,2,0.165,0.0825,
8/6/18,2.7,3,0.336,0.112,
8/2/18,2.6,1,0.1494,0.1494,
8/2/18,3.7,5,0.5457,0.10914,
8/2/18,3.6,1,0.1065,0.1065,
8/2/18,1.5,2,0.1954,0.0977,
7/26/18,1.1,1,0.1163,0.1163,
7/30/18,3.6,1,0.1075,0.1075,
7/30/18,2.1,3,0.2845,0.094833333,
7/30/18,4.1,4,0.3274,0.08185,
7/30/18,1.5,1,0.1144,0.1144,
7/30/18,2.3,2,0.1517,0.07585,
7/30/18,2.6,4,0.4919,0.122975,
7/30/18,4.7,1,0.0428,0.0428,
7/30/18,3.7,3,0.36,0.12,
8/2/18,4.3,2,0.107,0.0535,
7/23/18,2.3,2,0.1535,0.07675,
7/23/18,4.3,3,0.2962,0.098733333,
7/19/18,3.1,3,0.2813,0.093766667,
7/26/18,4.5,1,0.0975,0.0975,
7/26/18,3.1,1,0.1349,0.1349,
7/26/18,2.4,1,0.094,0.094,
7/30/18,1.1,1,0.0871,0.0871,
7/30/18,2.4,1,0.0678,0.0678,
7/26/18,4.4,1,0.1272,0.1272,
7/13/18,1.7,5,0.8355,0.1671,
7/19/18,2.2,2,0.1598,0.0799,
7/26/18,3.2,2,0.1431,0.07155,
7/23/18,4.7,3,0.2587,0.086233333,
7/26/18,4.3,1,0.1267,0.1267,
7/26/18,4.1,1,0.0641,0.0641,
7/26/18,4.7,2,0.1408,0.0704,
7/26/18,3.3,1,0.0726,0.0726,
8/2/18,2.4,1,0.059,0.059,
7/19/18,2.3,2,0.084,0.042,
7/19/18,4.3,1,0.0861,0.0861,
7/23/18,4.6,3,0.1916,0.063866667,
7/23/18,1.2,1,0.0796,0.0796,
7/23/18,3.3,2,0.1578,0.0789,
7/23/18,4.4,2,0.1566,0.0783,
7/26/18,2.3,4,0.336,0.084,A drone weighing .1267 g was included in this data but may have come from in the 2.1 on 7/26 vial (must check data sheets to see if drone numbers are correct)
7/26/18,2.1,4,0.4441,0.111025,
7/26/18,2.6,1,0.1435,0.1435,
7/13/18,2.2,5,0.8003,0.16006,
7/16/18,1.6,4,0.2883,0.072075,
7/13/18,3.3,9,1.3044,0.144933333,
7/13/18,1.2,6,0.5703,0.09505,
7/13/18,4.1,5,0.5838,0.11676,
7/13/18,3.2,6,0.8452,0.140866667,
7/16/18,3.2,2,0.1867,0.09335,
7/13/18,2.7,2,0.233,0.1165,
7/13/18,2.6,2,0.3134,0.1567,
