Microcolony ID,Date (2018),IT Distance  (mm),Notes
3.4,7/13/18,3.491,
3.4,7/13/18,3.246,
3.3,8/6/18,3.41,
2.5,7/13/18,3.312,
2.5,7/13/18,2.678,
2.5,7/13/18,3.035,
2.5,7/13/18,3.122,
2.5,7/13/18,3.205,
2.5,7/13/18,2.83,
3.3,7/26/18,2.866,
1.7,8/9/18,3.038,
1.7,8/9/18,2.988,
1.7,8/9/18,2.986,
2.7,8/2/18,3.182,
2.7,8/2/18,3.382,
2.3,7/30/18,2.541,
2.3,7/30/18,2.761,
3.1,7/26/18,3.075,
2.3,7/26/18,3.091,
2.3,7/26/18,2.874,
2.3,7/26/18,2.658,
2.3,7/26/18,2.492,
2.2,7/13/18,3.68,
2.2,7/13/18,3.607,
2.2,7/13/18,3.378,
2.2,7/13/18,3.656,
2.2,7/13/18,3.675,
2.3,7/18/18,2.522,
2.3,7/18/18,2.281,
3.5,7/16/18,2.745,
1.6,7/16/18,2.79,
1.6,7/16/18,2.648,
1.6,7/16/18,2.685,
1.6,7/16/18,2.935,
1.5,7/13/18,3.887,
1.5,7/13/18,2.952,
1.5,7/13/18,3.312,
1.5,7/13/18,3.903,
2.3,7/13/18,3.448,
2.3,7/13/18,3.628,
2.3,7/13/18,2.629,
2.3,7/13/18,2.869,
2.3,7/13/18,3.164,
2.3,7/13/18,3.496,
3.1,7/16/18,2.936,
3.1,7/16/18,2.788,
3.7,7/13/18,2.949,
3.7,8/6/18,2.875,
3.7,8/6/18,2.664,
2.4,8/6/18,3.055,
2.4,8/6/18,3.018,
1.5,7/30/18,3.279,
4.5,7/26/18,2.967,
1.7,7/13/18,3.517,
1.7,7/13/18,3.427,
1.7,7/13/18,3.538,
1.7,7/13/18,3.412,
1.7,7/13/18,3.512,
2.7,7/16/18,2.282,
1.4,7/13/18,3.175,
1.4,7/13/18,3.311,
1.3,7/16/18,3.475,
2.1,7/30/18,3.117,
2.1,7/30/18,3.328,
2.1,7/30/18,2.808,
1.3,8/2/18,3.347,
1.3,8/2/18,3.18,
1.3,8/2/18,3.066,
4.3,7/18/18,3.098,
2.4,7/13/18,3.115,
2.4,7/13/18,3.39,
2.4,7/13/18,3.141,
2.4,7/13/18,3.279,
2.4,7/13/18,3.856,
4.7,7/23/18,2.378,
4.7,7/23/18,3.126,
4.7,7/23/18,3.23,
1.5,8/6/18,3.035,
1.5,8/6/18,2.817,
3.1,7/18/18,2.918,
3.1,7/18/18,2.746,
3.1,7/18/18,3.098,
3.3,7/13/18,3.444,
3.3,7/13/18,3.197,
