Colony ID,Date (2018-9),IT Distance (mm),Notes
2.4,1/3/19,2.839,
2.4,1/3/19,2.81,
2.5,1/3/19,3.033,
2.5,1/3/19,3.148,
3.1,1/3/19,3.1,
3.1,1/3/19,3.267,
3.3,1/3/19,2.563,
3.3,1/3/19,2.541,
3.2,1/3/19,3.001,
2.3,1/3/19,3.368,
3.4,1/3/19,2.415,
3.5,1/3/19,3.164,
4.4,1/3/19,3.221,
4.4,1/3/19,3.227,
4.7,1/3/19,2.444,
4.7,1/3/19,2.809,
4.7,1/3/19,2.377,
1.3,1/6/19,3.022,
1.3,1/6/19,2.715,
4.4,1/6/19,2.843,
2.3,1/6/19,3.386,
2.3,1/6/19,3.483,
2.3,1/6/19,2.989,
2.3,1/6/19,3.235,
2.1,1/6/19,2.998,
4.4,1/9/19,2.442,
2.5,1/9/19,2.752,
1.4,1/9/19,2.431,
2.6,1/9/19,3.345,
2.6,1/9/19,3.05,
2.6,1/9/19,3.442,
2.6,1/9/19,3.148,
2.6,1/9/19,3.017,
2.1,1/9/19,3.627,
2.1,1/9/19,3.005,
4.7,1/9/19,3.279,
4.7,1/9/19,3.197,
4.7,1/9/19,2.94,
3.2,1/23/19,3.182,
3.2,1/23/19,2.787,
3.2,1/23/19,2.789,
3.2,1/23/19,2.805,
3.2,1/23/19,2.922,
3.2,1/23/19,3.566,
4.1,1/23/19,3.331,
4.1,1/23/19,3.066,
4.1,1/23/19,3.138,
1.1,1/23/19,3.485,
1.1,1/23/19,3.528,
2.1,1/23/19,3.152,
2.1,1/23/19,3.459,
2.1,1/23/19,3.755,
2.1,1/23/19,3.02,
2.1,1/23/19,3.334,
2.1,1/23/19,3.457,
4.7,1/23/19,3.115,
4.7,1/23/19,2.754,
4.7,1/23/19,3.13,
2.6,1/23/19,3.4,
2.3,1/23/19,3.028,
1.5,1/23/19,3.283,
1.5,1/23/19,2.346,
2.4,1/23/19,3.068,
2.4,1/23/19,2.985,
2.4,1/23/19,3.15,
2.2,11/28/18,3.66,
2.2,11/28/18,3.329,
3.4,11/28/18,3.198,
3.4,11/28/18,3.018,
3.4,11/28/18,3.149,
3.4,11/28/18,3.378,
3.4,11/28/18,3.123,
3.4,11/28/18,3.05,
1.6,12/1/18,3.475,
2.6,12/1/18,3.442,
2.3,12/1/18,2.804,
4.3,12/3/18,3.531,
3.4,12/3/18,3.299,
4.4,12/3/18,3.519,
4.2,12/3/18,2.961,
3.2,12/6/18,2.213,
3.2,12/6/18,3.166,
1.5,12/6/18,2.788,
1.5,12/6/18,2.801,
1.5,12/6/18,2.822,
4.7,12/6/18,3.151,
4.7,12/6/18,3.235,
2.4,12/6/18,3.01,
2.4,12/6/18,2.979,
2.3,12/6/18,2.989,
2.3,12/6/18,2.79,
2.3,12/6/18,3.328,
2.6,12/6/18,2.955,
3.6,12/6/18,2.985,
3.6,12/6/18,2.939,
3.6,12/6/18,3.127,
1.6,12/6/18,2.983,
1.6,12/6/18,3.2,
1.6,12/6/18,2.807,
1.6,12/6/18,2.935,
1.6,12/6/18,2.869,
4.3,12/6/18,2.771,
4.3,12/6/18,2.869,
4.3,12/6/18,3.045,
1.4,12/6/18,3.033,
1.4,12/6/18,2.988,
1.4,12/6/18,2.77,
3.1,12/6/18,3.049,
3.1,12/6/18,2.988,
4.4,12/6/18,3.164,
2.2,12/6/18,3.573,
3.6,12/9/18,3.017,
2.6,12/9/18,3.134,
3.5,12/9/18,3.102,
3.5,12/9/18,2.868,
3.7,12/9/18,2.717,
2.4,12/9/18,3.248,
2.5,12/9/18,3.477,
2.5,12/9/18,3.641,
1.6,12/9/18,2.99,
