date,id,n_drones,total_mass,avg_drone_mass,notes,treatment
2018-07-13,3.7,1,0.1167,0.1167,NA,zone.3
2018-07-13,2.3,6,0.8572,0.142866667,NA,zone.2
2018-07-13,2.4,5,0.7342,0.14684,NA,zone.2
2018-07-13,1.4,2,0.211,0.1055,NA,zone.1
2018-07-13,3.5,3,0.3608,0.120266667,NA,zone.3
2018-07-13,2.5,6,0.7784,0.129733333,NA,zone.2
2018-07-19,3.3,2,0.1376,0.0688,NA,zone.3
2018-07-13,1.5,4,0.7091,0.177275,NA,zone.1
2018-07-16,3.7,1,0.1391,0.1391,NA,zone.3
2018-07-16,4.3,1,0.0657,0.0657,NA,zone.4
2018-07-16,4.7,1,0.0836,0.0836,NA,zone.4
2018-07-19,2.5,1,0.1545,0.1545,NA,zone.2
2018-07-13,3.6,5,0.6538,0.13076,NA,zone.3
2018-07-13,3.1,8,0.7506,0.093825,NA,zone.3
2018-07-13,2.1,2,0.26,0.13,NA,zone.2
2018-07-13,1.1,1,0.1064,0.1064,NA,zone.1
2018-07-13,4.7,6,0.5034,0.0839,NA,zone.4
2018-07-13,4.3,4,0.4426,0.11065,NA,zone.4
2018-07-16,3.5,1,0.061,0.061,NA,zone.3
2018-07-16,2.7,1,0.0513,0.0513,NA,zone.2
2018-07-13,4.4,9,1.254,0.139333333,NA,zone.4
2018-07-19,1.6,2,0.1298,0.0649,NA,zone.1
2018-07-13,3.4,2,0.278,0.139,NA,zone.3
2018-07-13,4.5,4,0.4201,0.105025,NA,zone.4
2018-07-13,3.2,9,1.2536,0.139288889,NA,zone.3
2018-07-13,4.6,7,1.0146,0.144942857,NA,zone.4
2018-07-13,1.6,9,0.9527,0.105855556,NA,zone.1
2018-07-16,3.1,2,0.1667,0.08335,NA,zone.3
2018-08-09,1.7,3,0.2935,0.097833333,NA,zone.1
2018-08-09,2.6,2,0.2274,0.1137,NA,zone.2
2018-07-13,3.6,1,0.1129,0.1129,NA,zone.3
2018-07-16,2.2,4,0.3435,0.085875,NA,zone.2
2018-07-16,1.3,1,0.1274,0.1274,NA,zone.1
