date,id,n.drones,drone.mass,avg.individ.mass,treatment
2018-05-25,2.1,5,0.89716,0.1794,zone.2
2018-05-25,4.1,4,0.43059,0.1076,zone.4
2018-05-25,3.2,10,0.94312,0.0943,zone.3
2018-05-25,4.6,7,0.75875,0.1084,zone.4
2018-05-25,2.3,10,1.11461,0.1115,zone.2
2018-05-25,3.1,6,0.66816,0.1114,zone.3
2018-06-04,1.2,2,0.23008,0.115,zone.1
2018-06-04,2.6,6,0.54158,0.0903,zone.2
2018-05-25,1.6,4,0.38238,0.0956,zone.1
2018-05-25,3.7,1,0.06418,0.0642,zone.3
2018-05-24,3.4,2,0.19636,0.0982,zone.3
2018-05-24,2.7,9,1.28377,0.1426,zone.2
2018-05-25,1.7,2,0.21031,0.1052,zone.1
2018-05-25,2.2,7,0.54644,0.0781,zone.2
2018-05-25,2.5,2,0.07437,0.0372,zone.2
2018-05-25,3.3,1,0.0733,0.0733,zone.3
2018-05-25,4.7,4,0.20606,0.0515,zone.4
2018-05-24,1.5,1,0.11455,0.1146,zone.1
2018-05-24,3.6,2,0.22456,0.1123,zone.3
2018-05-24,3.5,4,0.52452,0.1311,zone.3
2018-05-24,3.1,11,1.30796,0.1189,zone.3
2018-05-24,4.2,5,0.5039,0.1008,zone.4
2018-05-24,4.4,10,1.0401,0.104,zone.4
2018-05-24,2.7,3,0.36273,0.1209,zone.2
2018-04-01,2.6,2,0.21721,0.1086,zone.2
2018-05-07,1.7,1,0.09249,0.0925,zone.1
2018-03-29,4.2,2,0.28616,0.1431,zone.4
2018-03-29,4.7,1,0.22974,0.2297,zone.4
2018-04-05,2.5,3,0.42966,0.1432,zone.2
2018-04-13,4.7,4,0.37367,0.0934,zone.4
2018-05-07,3.6,4,0.44368,0.1109,zone.3
2018-05-07,3.1,3,0.37369,0.1246,zone.3
2018-04-05,3.3,1,0.17839,0.1784,zone.3
2018-05-07,1.6,1,0.08416,0.0842,zone.1
2018-04-05,1.7,5,0.59866,0.1197,zone.1
2018-04-05,1.2,3,0.30142,0.1005,zone.1
2018-04-05,2.3,5,0.69604,0.1392,zone.2
2018-04-20,3.7,3,0.34886,0.1163,zone.3
2018-04-16,4.6,2,0.23052,0.1153,zone.4
2018-04-05,1.6,4,0.36339,0.0908,zone.1
2018-05-14,3.3,1,0.05997,0.06,zone.3
2018-05-04,2.2,4,0.63133,0.1578,zone.2
2018-05-01,1.3,2,0.27354,0.1368,zone.1
2018-04-16,2.2,2,0.19024,0.0951,zone.2
2018-04-01,2.2,2,0.25588,0.1279,zone.2
2018-03-29,3.2,3,0.30737,0.1025,zone.3
2018-04-01,1.5,2,0.25358,0.1268,zone.1
2018-04-01,1.6,4,0.5132,0.1283,zone.1
2018-05-14,4.1,3,0.37784,0.1259,zone.4
2018-04-13,4.6,4,0.28617,0.0715,zone.4
2018-04-13,2.2,2,0.57747,0.2887,zone.2
2018-05-07,3.2,3,0.33486,0.1116,zone.3
2018-04-16,3.7,3,0.32842,0.1095,zone.3
2018-05-07,2.1,2,0.27254,0.1363,zone.2
2018-03-29,2.4,2,0.30303,0.1515,zone.2
2018-05-14,2.3,5,0.71662,0.1433,zone.2
2018-04-01,2.5,1,0.07026,0.0703,zone.2
2018-05-07,2.1,3,0.34725,0.1158,zone.2
2018-05-07,1.5,3,0.38178,0.1273,zone.1
2018-04-16,3.3,2,0.25342,0.1267,zone.3
2018-05-07,2.6,3,0.31684,0.1056,zone.2
2018-04-16,4.1,5,0.48945,0.0979,zone.4
