id,date,p_mass_rm,p_mass_fd,n_mass_fd,n_mass_rm,p_mass_cons,p_mass_cons_avg,n_mass_cons,treatment,fd.day,mc_mass,mc_mass_init,fd.day.count,mc_mass_true,pulse.cat,pulse_cat,mc_mass_true_intrp
3.3,2018-03-15,0,2,14.23,0,NA,0.49999999999999983,0,zone.3,1,435.46,432.46,1,3.5,b1,b1,3.5
3.3,2018-03-18,NA,1.14,15.07,9.87,NA,0.49999999999999983,4.360000000000001,zone.3,2,435.91,432.46,2,1.9500000000000453,b1,b1,1.9500000000000453
3.3,2018-03-22,NA,1.01,13.57,9.21,NA,0.49999999999999983,5.859999999999999,zone.3,3,436.63,432.46,3,1.530000000000016,b1,b1,1.530000000000016
3.3,2018-03-26,2.65,1.19,14.53,7.56,1.4999999999999996,0.9075,6.010000000000001,zone.3,4,437.38,432.46,0,1.6775000000000164,p1,p1,1.6775000000000164
3.3,2018-03-29,NA,3.15,27.13,8.44,NA,0.9075,6.09,zone.3,5,436.82,432.46,1,5.267500000000013,p1,p1,5.267500000000013
3.3,2018-04-01,NA,3.07,26.39,21.99,NA,0.9075,5.140000000000001,zone.3,6,438.9,432.46,2,4.197499999999998,p1,p1,4.197499999999998
3.3,2018-04-05,NA,3.1,25.16,17.58,NA,0.9075,8.810000000000002,zone.3,7,442.13,432.46,3,4.357500000000016,a1.b2,a1.b2,4.357500000000016
3.3,2018-04-09,6.88,1.09,13.8,15.96,3.63,0.67,9.2,zone.3,8,445.38,432.46,0,4.2700000000000164,a1.b2,a1.b2,4.2700000000000164
3.3,2018-04-13,NA,1.06,13.57,6.86,NA,0.67,6.94,zone.3,9,439.55,432.46,1,7.760000000000032,a1.b2,a1.b2,7.760000000000032
3.3,2018-04-16,NA,1.05,14.09,7.89,NA,0.67,5.680000000000001,zone.3,10,438.64,432.46,2,5.790000000000006,a1.b2,a1.b2,5.790000000000006
3.3,2018-04-20,NA,1.13,15.1,7.24,NA,0.67,6.85,zone.3,11,438.9,432.46,3,4.999999999999998,p2,p2,4.999999999999998
3.3,2018-04-24,1.65,3.09,24.57,7.74,2.68,0.6266666666666669,7.359999999999999,zone.3,12,439.18,432.46,0,4.106666666666694,p2,p2,4.106666666666694
3.3,2018-04-28,NA,3.08,24.41,13.84,NA,0.6266666666666669,10.73,zone.3,13,NA,432.46,1,NA,p2,p2,6.886666666666683
3.3,2018-05-02,NA,2.98,26.19,16.59,NA,0.6266666666666669,7.82,zone.3,14,444.58,432.46,2,9.666666666666671,a2,a2,9.666666666666671
3.3,2018-05-07,7.27,1.11,15.13,17.96,1.8800000000000008,1.1933333333333331,8.23,zone.3,15,446.97,432.46,3,9.64333333333338,a2,a2,9.64333333333338
3.3,2018-05-11,NA,1.1,13.7,10.4,NA,1.1933333333333331,4.73,zone.3,16,NA,432.46,1,NA,a2,a2,8.653333333333354
3.3,2018-05-14,NA,1.11,15.05,9.42,NA,1.1933333333333331,4.279999999999999,zone.3,17,440.03,432.46,2,7.663333333333327,a2,a2,7.663333333333327
1.6,2018-03-15,0,2,13.93,0,NA,1.1933333333333331,0,zone.1,1,435.05,432.05,1,4.193333333333333,b1,b1,4.193333333333333
1.6,2018-03-18,NA,1.09,13.56,0,NA,1.1933333333333331,0,zone.1,2,435.8,432.05,2,2.9433333333333334,b1,b1,2.9433333333333334
1.6,2018-03-22,NA,1.01,14.61,7.11,NA,1.1933333333333331,6.45,zone.1,3,435.14,432.05,3,1.193333333333308,b1,b1,1.193333333333308
1.6,2018-03-26,0.52,1.14,14.19,6,3.5799999999999996,1.09,8.61,zone.1,4,436.14,432.05,0,1.0799999999999752,p1,p1,1.0799999999999752
1.6,2018-03-29,NA,1.09,14.15,6.52,NA,1.09,7.67,zone.1,5,436.31,432.05,1,5.349999999999991,p1,p1,5.349999999999991
1.6,2018-04-01,NA,1.05,14.62,7.1,NA,1.09,7.050000000000001,zone.1,6,436.34,432.05,2,4.289999999999964,p1,p1,4.289999999999964
1.6,2018-04-05,NA,1.08,14.67,6.86,NA,1.09,7.759999999999999,zone.1,7,436.06,432.05,3,2.959999999999991,a1.b2,a1.b2,2.959999999999991
1.6,2018-04-09,1.09,1.1,14.07,6.69,3.2700000000000005,0.8050000000000002,7.9799999999999995,zone.1,8,435.83,432.05,0,1.3649999999999727,a1.b2,a1.b2,1.3649999999999727
1.6,2018-04-13,NA,1.06,13.43,6.46,NA,0.8050000000000002,7.61,zone.1,9,436.44,432.05,1,5.194999999999986,a1.b2,a1.b2,5.194999999999986
1.6,2018-04-16,NA,1.1,15.33,6.71,NA,0.8050000000000002,6.72,zone.1,10,436.34,432.05,2,4.034999999999964,a1.b2,a1.b2,4.034999999999964
1.6,2018-04-20,NA,1.14,14.23,7.44,NA,0.8050000000000002,7.89,zone.1,11,437.29,432.05,3,3.8850000000000096,p2,p2,3.8850000000000096
1.6,2018-04-24,1.18,1.02,13.38,6.6,3.2200000000000006,0.4075000000000001,7.630000000000001,zone.1,12,437.21,432.05,0,2.2674999999999685,p2,p2,2.2674999999999685
1.6,2018-04-28,NA,1.09,13.09,6.79,NA,0.4075000000000001,6.590000000000001,zone.1,13,NA,432.05,1,NA,p2,p2,3.657499999999965
1.6,2018-05-02,NA,1.06,14.54,7.43,NA,0.4075000000000001,5.66,zone.1,14,437.78,432.05,2,5.047499999999961,a2,a2,5.047499999999961
1.6,2018-05-07,1.54,1.01,13.85,7.22,1.6300000000000003,1.0133333333333334,7.319999999999999,zone.1,15,437.8,432.05,3,4.613333333333333,a2,a2,4.613333333333333
1.6,2018-05-11,NA,1.11,13.1,7.08,NA,1.0133333333333334,6.77,zone.1,16,NA,432.05,1,NA,a2,a2,5.078333333333326
1.6,2018-05-14,NA,1.04,15.09,7.19,NA,1.0133333333333334,5.909999999999999,zone.1,17,437.69,432.05,2,5.54333333333332,a2,a2,5.54333333333332
1.2,2018-03-15,0,2,14.04,0,NA,1.0133333333333334,0,zone.1,1,436.18,433.18,1,4.013333333333334,b1,b1,4.013333333333334
1.2,2018-03-18,NA,1.17,15.07,6.96,NA,1.0133333333333334,7.079999999999999,zone.1,2,436.76,433.18,2,2.5933333333333177,b1,b1,2.5933333333333177
1.2,2018-03-22,NA,1.01,14.21,7.69,NA,1.0133333333333334,7.38,zone.1,3,437.3,433.18,3,1.963333333333338,b1,b1,1.963333333333338
1.2,2018-03-26,1.14,1.03,14.84,7.27,3.04,0.6100000000000002,6.940000000000001,zone.1,4,438.52,433.18,0,1.7699999999999756,p1,p1,1.7699999999999756
1.2,2018-03-29,NA,1.04,14.35,7.79,NA,0.6100000000000002,7.05,zone.1,5,438.21,433.18,1,5.639999999999973,p1,p1,5.639999999999973
1.2,2018-04-01,NA,1.08,15.63,7.49,NA,0.6100000000000002,6.859999999999999,zone.1,6,437.76,433.18,2,4.149999999999984,p1,p1,4.149999999999984
1.2,2018-04-05,NA,1.07,14.31,7.28,NA,0.6100000000000002,8.350000000000001,zone.1,7,438.17,433.18,3,3.4800000000000093,a1.b2,a1.b2,3.4800000000000093
1.2,2018-04-09,2.39,1.04,13.91,6.46,1.8300000000000005,0.6000000000000002,7.8500000000000005,zone.1,8,438.49,433.18,0,2.720000000000002,a1.b2,a1.b2,2.720000000000002
1.2,2018-04-13,NA,1.12,13.35,6.64,NA,0.6000000000000002,7.2700000000000005,zone.1,9,437.28,433.18,1,4.699999999999966,a1.b2,a1.b2,4.699999999999966
1.2,2018-04-16,NA,1.03,14.24,7.83,NA,0.6000000000000002,5.52,zone.1,10,436.8,433.18,2,3.1000000000000045,a1.b2,a1.b2,3.1000000000000045
1.2,2018-04-20,NA,1.11,13.56,7.78,NA,0.6000000000000002,6.46,zone.1,11,437.46,433.18,3,2.7299999999999724,p2,p2,2.7299999999999724
1.2,2018-04-24,2.5,1.07,13.71,7.26,1.8000000000000007,0.24249999999999994,6.300000000000001,zone.1,12,438.92,433.18,0,2.722500000000008,p2,p2,2.722500000000008
1.2,2018-04-28,NA,1.06,12.36,7.53,NA,0.24249999999999994,6.180000000000001,zone.1,13,NA,433.18,1,NA,p2,p2,4.282499999999988
1.2,2018-05-02,NA,1.01,14.21,7.99,NA,0.24249999999999994,4.369999999999999,zone.1,14,439.84,433.18,2,5.842499999999967,a2,a2,5.842499999999967
1.2,2018-05-07,2.17,1.04,14.39,7.65,0.9699999999999998,0.355,6.5600000000000005,zone.1,15,440.44,433.18,3,5.544999999999991,a2,a2,5.544999999999991
1.2,2018-05-11,NA,1.01,13.49,6.76,NA,0.355,7.630000000000001,zone.1,16,NA,433.18,1,NA,a2,a2,5.454999999999987
1.2,2018-05-14,NA,1.06,14.2,6.54,NA,0.355,6.95,zone.1,17,439.2,433.18,2,5.3649999999999824,a2,a2,5.3649999999999824
3.7,2018-03-15,0,2,16.64,0,NA,0.355,0,zone.3,1,438.29,435.29,1,3.355,b1,b1,3.355
3.7,2018-03-18,NA,1.17,19.28,10.13,NA,0.355,6.51,zone.3,2,438.13,435.29,2,1.194999999999975,b1,b1,1.194999999999975
3.7,2018-03-22,NA,1.12,13.52,7.57,NA,0.355,11.71,zone.3,3,439.07,435.29,3,0.9649999999999728,b1,b1,0.9649999999999728
3.7,2018-03-26,2.87,1.09,14.29,7.27,1.42,1.4933333333333332,6.25,zone.3,4,439.94,435.29,0,1.8533333333333104,p1,p1,1.8533333333333104
3.7,2018-03-29,NA,3.01,27.92,7.76,NA,1.4933333333333332,6.529999999999999,zone.3,5,437.31,435.29,1,3.513333333333315,p1,p1,3.513333333333315
3.7,2018-04-01,NA,3.01,26.19,21.74,NA,1.4933333333333332,6.180000000000003,zone.3,6,439.1,435.29,2,2.2933333333333357,p1,p1,2.2933333333333357
3.7,2018-04-05,NA,3.01,26.02,17.84,NA,1.4933333333333332,8.350000000000001,zone.3,7,441.5,435.29,3,1.6833333333333131,a1.b2,a1.b2,1.6833333333333131
3.7,2018-04-09,5.64,1.13,14.5,17.95,4.4799999999999995,0.6833333333333335,8.07,zone.3,8,443.9,435.29,0,0.2633333333332909,a1.b2,a1.b2,0.2633333333332909
3.7,2018-04-13,NA,1.11,13.52,7.59,NA,0.6833333333333335,6.91,zone.3,9,439.21,435.29,1,4.603333333333293,a1.b2,a1.b2,4.603333333333293
3.7,2018-04-16,NA,1.15,14.95,7.66,NA,0.6833333333333335,5.859999999999999,zone.3,10,438.5,435.29,2,2.783333333333313,a1.b2,a1.b2,2.783333333333313
