rep,id,date,it.distance,notes,trt_pulse,trt_total
1,2.1,2018-05-25,3.604,NA,constant,100
1,2.1,2018-05-25,2.858,NA,constant,100
1,2.1,2018-05-25,2.978,NA,constant,100
1,2.1,2018-05-25,2.855,NA,constant,100
1,2.1,2018-05-25,2.942,NA,constant,100
1,2.1,2018-05-25,0.319,NA,constant,100
1,2.1,2018-05-25,2.948,NA,constant,100
1,4.1,2018-05-25,3.785,NA,pulse,60
1,4.1,2018-05-25,3.387,NA,pulse,60
1,4.1,2018-05-25,2.73,NA,pulse,60
1,4.1,2018-05-25,3.034,NA,pulse,60
1,3.2,2018-05-25,2.318,NA,pulse,100
1,3.2,2018-05-25,2.315,NA,pulse,100
1,3.2,2018-05-25,2.351,NA,pulse,100
1,3.2,2018-05-25,2.851,NA,pulse,100
1,3.2,2018-05-25,2.645,NA,pulse,100
1,3.2,2018-05-25,2.761,NA,pulse,100
1,3.2,2018-05-25,2.665,NA,pulse,100
1,3.2,2018-05-25,2.333,NA,pulse,100
1,3.2,2018-05-25,2.821,NA,pulse,100
1,3.2,2018-05-25,2.605,NA,pulse,100
1,4.6,2018-05-25,3.075,NA,pulse,60
1,4.6,2018-05-25,2.617,NA,pulse,60
1,4.6,2018-05-25,2.98,NA,pulse,60
1,4.6,2018-05-25,2.676,NA,pulse,60
1,4.6,2018-05-25,2.76,NA,pulse,60
1,4.6,2018-05-25,2.987,NA,pulse,60
1,4.6,2018-05-25,2.864,NA,pulse,60
1,2.3,2018-05-25,2.83,NA,constant,100
1,2.3,2018-05-25,2.576,NA,constant,100
1,2.3,2018-05-25,3.203,NA,constant,100
1,2.3,2018-05-25,2.946,NA,constant,100
1,2.3,2018-05-25,2.579,NA,constant,100
1,2.3,2018-05-25,3.366,NA,constant,100
1,2.3,2018-05-25,2.546,NA,constant,100
1,2.3,2018-05-25,3.058,NA,constant,100
1,2.3,2018-05-25,2.679,NA,constant,100
1,2.3,2018-05-25,2.673,NA,constant,100
1,3.1,2018-05-25,2.25,NA,pulse,100
1,3.1,2018-05-25,2.766,NA,pulse,100
1,3.1,2018-05-25,2.83,NA,pulse,100
1,3.1,2018-05-25,2.914,NA,pulse,100
1,3.1,2018-05-25,2.814,NA,pulse,100
1,3.1,2018-05-25,2.64,NA,pulse,100
1,1.2,2018-06-04,2.797,NA,constant,60
1,1.2,2018-06-04,2.986,NA,constant,60
1,2.6,2018-06-04,2.338,NA,constant,100
1,2.6,2018-06-04,2.664,NA,constant,100
1,2.6,2018-06-04,2.576,NA,constant,100
1,2.6,2018-06-04,2.709,NA,constant,100
1,2.6,2018-06-04,2.579,NA,constant,100
1,2.6,2018-06-04,2.58,NA,constant,100
1,1.6,2018-05-25,2.425,NA,constant,60
1,1.6,2018-05-25,2.951,NA,constant,60
1,1.6,2018-05-25,2.782,NA,constant,60
1,1.6,2018-05-25,2.885,NA,constant,60
1,3.7,2018-05-25,2.762,NA,pulse,100
1,2.4,2018-05-24,3.535,NA,constant,100
1,2.4,2018-05-24,2.862,NA,constant,100
1,2.7,2018-05-24,3.068,NA,constant,100
1,2.7,2018-05-24,3.414,NA,constant,100
1,2.7,2018-05-24,3.098,NA,constant,100
1,2.7,2018-05-24,2.684,NA,constant,100
1,2.7,2018-05-24,2.972,NA,constant,100
1,2.7,2018-05-24,3.064,NA,constant,100
1,2.7,2018-05-24,3.152,NA,constant,100
1,2.7,2018-05-24,3.008,NA,constant,100
1,2.7,2018-05-24,2.728,NA,constant,100
1,1.7,2018-05-25,2.58,NA,constant,60
1,1.7,2018-05-25,2.873,NA,constant,60
1,2.2,2018-05-25,2.863,NA,constant,100
1,2.2,2018-05-25,2.402,NA,constant,100
1,2.2,2018-05-25,2.753,NA,constant,100
1,2.2,2018-05-25,2.587,NA,constant,100
1,2.2,2018-05-25,2.154,NA,constant,100
1,2.2,2018-05-25,2.271,NA,constant,100
1,2.2,2018-05-25,2.652,NA,constant,100
1,2.5,2018-05-25,3.026,NA,constant,100
1,2.5,2018-05-25,2.795,NA,constant,100
1,3.3,2018-05-25,2.48,NA,pulse,100
1,4.7,2018-05-25,2.514,NA,pulse,60
1,4.7,2018-05-25,2.517,NA,pulse,60
1,4.7,2018-05-25,2.785,NA,pulse,60
1,4.7,2018-05-25,2.894,NA,pulse,60
1,1.5,2018-05-24,2.755,NA,constant,60
1,3.6,2018-05-24,2.552,NA,pulse,100
1,3.6,2018-05-24,2.963,NA,pulse,100
1,3.6,2018-05-24,2.906,NA,pulse,100
1,3.5,2018-05-24,2.698,NA,pulse,100
1,3.5,2018-05-24,2.929,NA,pulse,100
1,3.5,2018-05-24,2.779,NA,pulse,100
1,3.5,2018-05-24,2.891,NA,pulse,100
1,3.1,2018-05-24,2.87,NA,pulse,100
1,3.1,2018-05-24,3.047,NA,pulse,100
1,3.1,2018-05-24,2.809,NA,pulse,100
1,3.1,2018-05-24,2.935,NA,pulse,100
1,3.1,2018-05-24,2.629,NA,pulse,100
1,3.1,2018-05-24,2.565,NA,pulse,100
1,3.1,2018-05-24,2.763,NA,pulse,100
1,3.1,2018-05-24,2.934,NA,pulse,100
1,3.1,2018-05-24,2.738,NA,pulse,100
1,3.1,2018-05-24,2.688,NA,pulse,100
1,3.1,2018-05-24,2.935,NA,pulse,100
1,4.2,2018-05-24,2.514,NA,pulse,60
1,4.2,2018-05-24,3.028,NA,pulse,60
1,4.2,2018-05-24,2.979,NA,pulse,60
1,4.2,2018-05-24,2.941,NA,pulse,60
1,4.2,2018-05-24,2.319,NA,pulse,60
1,4.4,2018-05-24,2.44,NA,pulse,60
1,4.4,2018-05-24,2.422,NA,pulse,60
1,4.4,2018-05-24,2.532,NA,pulse,60
1,4.4,2018-05-24,3.045,NA,pulse,60
1,4.4,2018-05-24,3.183,NA,pulse,60
