rep,id,total_drones,trt_pulse,trt_total
1,1.2,10,constant,60
1,1.3,17,constant,60
1,1.5,23,constant,60
1,1.6,25,constant,60
1,1.7,25,constant,60
1,2.1,25,constant,100
1,2.2,41,constant,100
1,2.3,32,constant,100
1,2.5,25,constant,100
1,2.6,41,constant,100
1,2.7,31,constant,100
1,3.1,20,pulse,100
1,3.2,27,pulse,100
1,3.3,20,pulse,100
1,3.4,15,pulse,100
1,3.5,31,pulse,100
1,3.6,28,pulse,100
1,3.7,18,pulse,100
1,4.1,25,pulse,60
1,4.2,23,pulse,60
1,4.4,19,pulse,60
1,4.6,24,pulse,60
1,4.7,8,pulse,60
2,1.1,3,constant,60
2,1.2,7,constant,60
2,1.3,6,constant,60
2,1.5,9,constant,60
2,1.6,16,constant,60
2,1.7,11,constant,60
2,2.1,10,constant,100
2,2.2,16,constant,100
2,2.3,15,constant,100
2,2.4,10,constant,100
2,2.5,13,constant,100
2,2.6,10,constant,100
2,2.7,8,constant,100
2,3.1,14,pulse,100
2,3.2,30,pulse,100
2,3.3,18,pulse,100
2,3.4,3,pulse,100
2,3.5,4,pulse,100
2,3.6,7,pulse,100
2,3.7,11,pulse,100
2,4.1,11,pulse,60
2,4.2,0,pulse,60
2,4.3,14,pulse,60
2,4.4,12,pulse,60
2,4.5,5,pulse,60
2,4.6,10,pulse,60
2,4.7,13,pulse,60
3,1.1,8,constant,60
3,1.2,10,constant,60
3,1.3,6,constant,60
3,1.4,8,constant,60
3,1.5,3,constant,60
3,1.6,13,constant,60
3,1.7,0,constant,60
3,2.1,8,constant,100
3,2.2,15,constant,100
3,2.3,10,constant,100
3,2.4,11,constant,100
3,2.5,15,constant,100
3,2.6,13,constant,100
3,3.1,11,pulse,100
3,3.2,8,pulse,100
3,3.3,3,pulse,100
3,3.4,26,pulse,100
3,3.5,3,pulse,100
3,3.6,9,pulse,100
3,3.7,5,pulse,100
3,4.1,10,pulse,60
3,4.2,5,pulse,60
3,4.3,11,pulse,60
3,4.4,11,pulse,60
3,4.5,0,pulse,60
3,4.6,0,pulse,60
3,4.7,8,pulse,60
