round,id,end_mass_comb,treatment,trt_pulse,trt_total
1,1.2,3.14,zone.1,constant,60
1,1.3,4.49,zone.1,constant,60
1,1.5,5.06,zone.1,constant,60
1,1.6,4.12,zone.1,constant,60
1,1.7,5.3,zone.1,constant,60
1,2.1,12.89,zone.2,constant,100
1,2.2,9.5,zone.2,constant,100
1,2.3,9.75,zone.2,constant,100
1,2.4,5.41,zone.2,constant,100
1,2.5,9.2,zone.2,constant,100
1,2.6,7.03,zone.2,constant,100
1,2.7,4.72,zone.2,constant,100
1,3.1,4.15,zone.3,pulse,100
1,3.2,4.31,zone.3,pulse,100
1,3.3,2.74,zone.3,pulse,100
1,3.4,6.34,zone.3,pulse,100
1,3.5,5.87,zone.3,pulse,100
1,3.6,3.23,zone.3,pulse,100
1,3.7,2.26,zone.3,pulse,100
1,4.1,3.95,zone.4,pulse,60
1,4.2,3.34,zone.4,pulse,60
1,4.4,3.94,zone.4,pulse,60
1,4.6,4.2,zone.4,pulse,60
1,4.7,3.15,zone.4,pulse,60
2,3.3,3.0678,zone.3,pulse,100
2,1.6,2.1708,zone.1,constant,60
2,4.7,2.9005,zone.4,pulse,60
2,4.4,2.7306,zone.4,pulse,60
2,3.1,2.9002,zone.3,pulse,100
2,1.2,1.9416,zone.1,constant,60
2,4.3,3.1842,zone.4,pulse,60
2,1.4,0.8529,zone.1,constant,60
2,3.7,3.8644,zone.3,pulse,100
2,4.6,1.7637,zone.4,pulse,60
2,3.5,2.1847,zone.3,pulse,100
2,4.1,2.0124,zone.4,pulse,60
2,3.4,1.5166,zone.3,pulse,100
2,2.1,3.9555,zone.2,constant,100
2,2.4,3.6942,zone.2,constant,100
2,4.5,1.3933,zone.4,pulse,60
2,3.2,4.1067,zone.3,pulse,100
2,2.2,2.6419,zone.2,constant,100
2,3.6,1.5447,zone.3,pulse,100
2,1.7,2.7677,zone.1,constant,60
2,2.7,4.9337,zone.2,constant,100
2,1.1,1.3321,zone.1,constant,60
2,2.3,3.9864,zone.2,constant,100
2,1.5,2.3949,zone.1,constant,60
2,2.6,2.7887,zone.2,constant,100
2,4.2,0.6919,zone.4,pulse,60
2,1.3,2.5295,zone.1,constant,60
2,2.5,2.5273,zone.2,constant,100
3,1.1,3.084,zone.1,constant,60
3,1.2,1.639,zone.1,constant,60
3,1.3,0.134,zone.1,constant,60
3,1.4,1.448,zone.1,constant,60
3,1.5,2.589,zone.1,constant,60
3,1.6,1.901,zone.1,constant,60
3,1.7,2.071,zone.1,constant,60
3,2.1,3.044,zone.2,constant,100
3,2.2,5.615,zone.2,constant,100
3,2.3,4.541,zone.2,constant,100
3,2.4,3.743,zone.2,constant,100
3,2.5,4.11,zone.2,constant,100
3,2.6,4.011,zone.2,constant,100
3,2.7,0.061,zone.2,constant,100
3,3.1,4.065,zone.3,pulse,100
3,3.2,3.817,zone.3,pulse,100
3,3.3,1.605,zone.3,pulse,100
3,3.4,4.776,zone.3,pulse,100
3,3.5,1.497,zone.3,pulse,100
3,3.6,3.753,zone.3,pulse,100
3,3.7,1.878,zone.3,pulse,100
3,4.1,1.34,zone.4,pulse,60
3,4.2,1.491,zone.4,pulse,60
3,4.3,2.588,zone.4,pulse,60
3,4.4,2.022,zone.4,pulse,60
3,4.5,2.384,zone.4,pulse,60
3,4.6,1.31,zone.4,pulse,60
3,4.7,1.601,zone.4,pulse,60
