rep,id,date,mc_mass,p_mass_rm,p_mass_fd,n_mass_fd,n_mass_rm,treatment,fd_day,p_mass_cons,p_mass_cons_avg,n_mass_cons,fd_day_count,fd.day.count,mc_mass_init,mc_mass_true,mc_mass_true_intrp,pulse_cat,mc_mass_diff,total_p_cons,total_n_cons,trt_pulse,trt_total
1,1.2,2018-03-15,436.18,0,2,14.04,0,zone.1,1,0,1.0133333333333334,0,3,1,434.18,0.8633333333333333,0.8633333333333333,b1,NA,1.0133333333333334,0,constant,60
1,1.2,2018-03-18,436.76,NA,1.17,15.07,6.96,zone.1,2,0,1.0133333333333334,7.079999999999999,2,2,434.18,1.5933333333333175,1.5933333333333175,b1,NA,2.026666666666667,7.079999999999999,constant,60
1,1.2,2018-03-22,437.3,NA,1.01,14.21,7.69,zone.1,3,0,1.0133333333333334,7.38,1,3,434.18,4.133333333333338,4.133333333333338,b1,NA,3.04,14.459999999999999,constant,60
1,1.2,2018-03-26,438.52,1.14,1.03,14.84,7.27,zone.1,4,3.04,0.6100000000000002,6.940000000000001,3,0,434.18,2.7699999999999756,2.7699999999999756,b1,NA,3.6500000000000004,21.4,constant,60
1,1.2,2018-03-29,438.21,NA,1.04,14.35,7.79,zone.1,5,0,0.6100000000000002,7.05,2,1,434.18,3.609999999999973,3.609999999999973,p1,NA,4.260000000000001,28.45,constant,60
1,1.2,2018-04-01,437.76,NA,1.08,15.63,7.49,zone.1,6,0,0.6100000000000002,6.859999999999999,1,2,434.18,4.189999999999984,4.189999999999984,p1,NA,4.870000000000001,35.31,constant,60
1,1.2,2018-04-05,438.17,NA,1.07,14.31,7.28,zone.1,7,0,0.6100000000000002,8.350000000000001,0,3,434.18,1.450000000000009,1.450000000000009,p1,NA,5.480000000000001,43.660000000000004,constant,60
1,1.2,2018-04-09,438.49,2.39,1.04,13.91,6.46,zone.1,8,1.8300000000000005,0.6000000000000002,7.8500000000000005,3,0,434.18,2.760000000000002,2.760000000000002,a1.b2,NA,6.080000000000001,51.510000000000005,constant,60
1,1.2,2018-04-13,437.28,NA,1.12,13.35,6.64,zone.1,9,0,0.6000000000000002,7.2700000000000005,2,1,434.18,2.659999999999966,2.659999999999966,a1.b2,NA,6.6800000000000015,58.78,constant,60
1,1.2,2018-04-16,436.8,NA,1.03,14.24,7.83,zone.1,10,0,0.6000000000000002,5.52,1,2,434.18,3.2200000000000046,3.2200000000000046,a1.b2,NA,7.280000000000002,64.3,constant,60
1,1.2,2018-04-20,437.46,NA,1.11,13.56,7.78,zone.1,11,0,0.6000000000000002,6.46,0,3,434.18,0.6899999999999725,0.6899999999999725,a1.b2,NA,7.880000000000002,70.76,constant,60
1,1.2,2018-04-24,438.92,2.5,1.07,13.71,7.26,zone.1,12,1.8000000000000007,0.24249999999999994,6.300000000000001,3,0,434.18,2.8425000000000082,2.8425000000000082,p2,NA,8.122500000000002,77.06,constant,60
1,1.2,2018-04-28,NA,NA,1.06,12.36,7.53,zone.1,13,0,0.24249999999999994,6.180000000000001,2,1,434.18,4.372499999999988,4.372499999999988,p2,NA,8.365000000000002,83.24000000000001,constant,60
1,1.2,2018-05-02,439.84,NA,1.01,14.21,7.99,zone.1,14,0,0.24249999999999994,4.369999999999999,1,2,434.18,5.902499999999968,5.902499999999968,p2,NA,8.607500000000002,87.61,constant,60
1,1.2,2018-05-07,440.44,2.17,1.04,14.39,7.65,zone.1,15,0.9699999999999998,0,6.5600000000000005,3,3,434.18,4.981666666666645,4.981666666666645,a2,NA,8.607500000000002,94.17,constant,60
1,1.2,2018-05-11,NA,NA,1.01,13.49,6.76,zone.1,16,0,0,7.630000000000001,2,1,434.18,4.060833333333322,4.060833333333322,a2,NA,8.607500000000002,101.8,constant,60
1,1.2,2018-05-14,439.2,NA,1.06,14.2,6.54,zone.1,17,0,0,6.95,1,2,434.18,3.14,3.14,a2,NA,8.607500000000002,108.75,constant,60
1,1.3,2018-03-15,441.01,0,2,13.34,0,zone.1,1,0,0.36666666666666653,0,3,1,439.01,0.25666666666666643,0.25666666666666643,b1,NA,0.36666666666666653,0,constant,60
1,1.3,2018-03-18,440.43,NA,1.1,13.98,7.69,zone.1,2,0,0.36666666666666653,5.6499999999999995,2,2,439.01,-0.21333333333331755,-0.21333333333331755,b1,NA,0.7333333333333331,5.6499999999999995,constant,60
1,1.3,2018-03-22,440.55,NA,1,13.98,7.56,zone.1,3,0,0.36666666666666653,6.420000000000001,1,3,439.01,1.906666666666687,1.906666666666687,b1,NA,1.0999999999999996,12.07,constant,60
1,1.3,2018-03-26,441.96,3,1.06,13.93,6.73,zone.1,4,1.0999999999999996,0.5200000000000001,7.25,3,0,439.01,1.3699999999999886,1.3699999999999886,b1,NA,1.6199999999999997,19.32,constant,60
1,1.3,2018-03-29,440.08,NA,1.06,14.52,7.73,zone.1,5,0,0.5200000000000001,6.199999999999999,2,1,439.01,0.5299999999999933,0.5299999999999933,p1,NA,2.1399999999999997,25.52,constant,60
1,1.3,2018-04-01,440.92,NA,1.13,14.77,6.98,zone.1,6,0,0.5200000000000001,7.539999999999999,1,2,439.01,2.430000000000025,2.430000000000025,p1,NA,2.66,33.06,constant,60
1,1.3,2018-04-05,440.63,NA,1.07,14.33,7.3,zone.1,7,0,0.5200000000000001,7.47,0,3,439.01,-1.1099999999999954,-1.1099999999999954,p1,NA,3.18,40.53,constant,60
1,1.3,2018-04-09,440.79,2.76,1.04,14.18,7.14,zone.1,8,1.5600000000000005,0.69,7.19,3,0,439.01,0.27000000000002955,0.27000000000002955,a1.b2,NA,3.87,47.72,constant,60
1,1.3,2018-04-13,439.68,NA,1.12,13.15,7.99,zone.1,9,0,0.69,6.1899999999999995,2,1,439.01,0.3200000000000158,0.3200000000000158,a1.b2,NA,4.56,53.91,constant,60
1,1.3,2018-04-16,438.71,NA,1.12,13.22,6.03,zone.1,10,0,0.69,7.12,1,2,439.01,0.3899999999999886,0.3899999999999886,a1.b2,NA,5.25,61.03,constant,60
1,1.3,2018-04-20,439.86,NA,1.05,14.14,8.22,zone.1,11,0,0.69,5,0,3,439.01,-1.7399999999999776,-1.7399999999999776,a1.b2,NA,5.9399999999999995,66.03,constant,60
1,1.3,2018-04-24,440.16,1.57,1.14,13.33,7.26,zone.1,12,2.76,0.42499999999999993,6.880000000000001,3,0,439.01,-0.5949999999999661,-0.5949999999999661,p2,NA,6.365,72.91,constant,60
1,1.3,2018-04-28,NA,NA,1,12.24,7.69,zone.1,13,0,0.42499999999999993,5.64,2,1,439.01,1.1350000000000158,1.1350000000000158,p2,NA,6.79,78.55,constant,60
1,1.3,2018-05-02,441.45,NA,1.04,14.32,7.5,zone.1,14,0,0.42499999999999993,4.74,1,2,439.01,2.8649999999999975,2.8649999999999975,p2,NA,7.215,83.28999999999999,constant,60
1,1.3,2018-05-07,441.72,1.48,1.01,13.55,6.98,zone.1,15,1.6999999999999997,0,7.34,3,3,439.01,3.406666666666665,3.406666666666665,a2,NA,7.215,90.63,constant,60
1,1.3,2018-05-11,NA,NA,1.06,14.78,7.16,zone.1,16,0,0,6.390000000000001,2,1,439.01,3.9483333333333324,3.9483333333333324,a2,NA,7.215,97.02,constant,60
1,1.3,2018-05-14,442.42,NA,1.01,14.29,7.34,zone.1,17,0,0,7.4399999999999995,1,2,439.01,4.49,4.49,a2,NA,7.215,104.46,constant,60
1,1.5,2018-03-15,441.04,0,2,13.89,0,zone.1,1,0,1.1133333333333335,0,3,1,439.04,1.0433333333333334,1.0433333333333334,b1,NA,1.1133333333333335,0,constant,60
1,1.5,2018-03-18,440.24,NA,1.09,13.82,7.45,zone.1,2,0,1.1133333333333335,6.44,2,2,439.04,0.31333333333332214,0.31333333333332214,b1,NA,2.226666666666667,6.44,constant,60
1,1.5,2018-03-22,440.8,NA,1.15,13.05,7.63,zone.1,3,0,1.1133333333333335,6.19,1,3,439.04,2.873333333333324,2.873333333333324,b1,NA,3.3400000000000007,12.63,constant,60
1,1.5,2018-03-26,440.88,0.9,1.12,14.78,6.73,zone.1,4,3.3400000000000003,0.9733333333333335,6.32,3,0,439.04,0.5733333333333085,0.5733333333333085,b1,NA,4.313333333333334,18.950000000000003,constant,60
1,1.5,2018-03-29,441.26,NA,1.03,15.67,8.34,zone.1,5,0,0.9733333333333335,6.4399999999999995,2,1,439.04,2.073333333333304,2.073333333333304,p1,NA,5.286666666666667,25.39,constant,60
1,1.5,2018-04-01,441.36,NA,1.12,15.52,8.69,zone.1,6,0,0.9733333333333335,6.98,1,2,439.04,3.293333333333327,3.293333333333327,p1,NA,6.260000000000001,32.370000000000005,constant,60
1,1.5,2018-04-05,441.17,NA,1.17,13.52,8.31,zone.1,7,0,0.9733333333333335,7.209999999999999,0,3,439.04,-0.1666666666666713,-0.1666666666666713,p1,NA,7.233333333333334,39.58,constant,60
1,1.5,2018-04-09,441.34,1.52,1.11,14,6.67,zone.1,8,2.9200000000000004,0.7000000000000002,6.85,3,0,439.04,0.7099999999999547,0.7099999999999547,a1.b2,NA,7.9333333333333345,46.43,constant,60
1,1.5,2018-04-13,442.07,NA,1.08,13.81,7.75,zone.1,9,0,0.7000000000000002,6.25,2,1,439.04,2.6199999999999726,2.6199999999999726,a1.b2,NA,8.633333333333335,52.68,constant,60
1,1.5,2018-04-16,439.39,NA,1.02,12.9,6.89,zone.1,10,0,0.7000000000000002,6.920000000000001,1,2,439.04,1.049999999999966,1.049999999999966,a1.b2,NA,9.333333333333336,59.6,constant,60
1,1.5,2018-04-20,441.96,NA,1.14,14.99,8.64,zone.1,11,0,0.7000000000000002,4.26,0,3,439.04,0.40999999999995906,0.40999999999995906,a1.b2,NA,10.033333333333335,63.86,constant,60
1,1.5,2018-04-24,442.52,2.25,1.02,14.7,8.91,zone.1,12,2.1000000000000005,0.3500000000000001,6.08,3,0,439.04,1.6699999999999617,1.6699999999999617,p2,NA,10.383333333333335,69.94,constant,60
1,1.5,2018-04-28,NA,NA,1.09,12.27,8.21,zone.1,13,0,0.3500000000000001,6.489999999999998,2,1,439.04,2.384999999999981,2.384999999999981,p2,NA,10.733333333333336,76.42999999999999,constant,60
1,1.5,2018-05-02,441.79,NA,1.06,14.31,8.12,zone.1,14,0,0.3500000000000001,4.15,1,2,439.04,3.1,3.1,p2,NA,11.083333333333336,80.58,constant,60
1,1.5,2018-05-07,441.36,1.77,1.01,12.65,7.8,zone.1,15,1.4000000000000004,0,6.510000000000001,3,3,439.04,3.753333333333333,3.753333333333333,a2,NA,11.083333333333336,87.09,constant,60
1,1.5,2018-05-11,NA,NA,1.11,14.59,8.94,zone.1,16,0,0,3.710000000000001,2,1,439.04,4.406666666666666,4.406666666666666,a2,NA,11.083333333333336,90.8,constant,60
1,1.5,2018-05-14,442.81,NA,1.04,14.82,7.64,zone.1,17,0,0,6.95,1,2,439.04,5.06,5.06,a2,NA,11.083333333333336,97.75,constant,60
1,1.6,2018-03-15,435.05,0,2,13.93,0,zone.1,1,0,1.1933333333333331,0,3,1,433.05,0.983333333333333,0.983333333333333,b1,NA,1.1933333333333331,0,constant,60
1,1.6,2018-03-18,435.8,NA,1.09,13.56,0,zone.1,2,0,1.1933333333333331,0,2,2,433.05,1.9433333333333331,1.9433333333333331,b1,NA,2.3866666666666663,0,constant,60
1,1.6,2018-03-22,435.14,NA,1.01,14.61,7.11,zone.1,3,0,1.1933333333333331,6.45,1,3,433.05,3.2833333333333083,3.2833333333333083,b1,NA,3.579999999999999,6.45,constant,60
1,1.6,2018-03-26,436.14,0.52,1.14,14.19,6,zone.1,4,3.5799999999999996,1.09,8.61,3,0,433.05,2.079999999999975,2.079999999999975,b1,NA,4.67,15.059999999999999,constant,60
1,1.6,2018-03-29,436.31,NA,1.09,14.15,6.52,zone.1,5,0,1.09,7.67,2,1,433.05,3.209999999999991,3.209999999999991,p1,NA,5.76,22.73,constant,60
1,1.6,2018-04-01,436.34,NA,1.05,14.62,7.1,zone.1,6,0,1.09,7.050000000000001,1,2,433.05,4.3799999999999635,4.3799999999999635,p1,NA,6.85,29.78,constant,60
1,1.6,2018-04-05,436.06,NA,1.08,14.67,6.86,zone.1,7,0,1.09,7.759999999999999,0,3,433.05,0.819999999999991,0.819999999999991,p1,NA,7.9399999999999995,37.54,constant,60
1,1.6,2018-04-09,435.83,1.09,1.1,14.07,6.69,zone.1,8,3.2700000000000005,0.8050000000000002,7.9799999999999995,3,0,433.05,1.4549999999999728,1.4549999999999728,a1.b2,NA,8.745,45.519999999999996,constant,60
1,1.6,2018-04-13,436.44,NA,1.06,13.43,6.46,zone.1,9,0,0.8050000000000002,7.61,2,1,433.05,3.0949999999999864,3.0949999999999864,a1.b2,NA,9.55,53.129999999999995,constant,60
1,1.6,2018-04-16,436.34,NA,1.1,15.33,6.71,zone.1,10,0,0.8050000000000002,6.72,1,2,433.05,4.094999999999963,4.094999999999963,a1.b2,NA,10.355,59.85,constant,60
1,1.6,2018-04-20,437.29,NA,1.14,14.23,7.44,zone.1,11,0,0.8050000000000002,7.89,0,3,433.05,1.785000000000009,1.785000000000009,a1.b2,NA,11.16,67.74,constant,60
1,1.6,2018-04-24,437.21,1.18,1.02,13.38,6.6,zone.1,12,3.2200000000000006,0.4075000000000001,7.630000000000001,3,0,433.05,2.3274999999999686,2.3274999999999686,p2,NA,11.5675,75.37,constant,60
1,1.6,2018-04-28,NA,NA,1.09,13.09,6.79,zone.1,13,0,0.4075000000000001,6.590000000000001,2,1,433.05,3.732499999999965,3.732499999999965,p2,NA,11.975000000000001,81.96,constant,60
1,1.6,2018-05-02,437.78,NA,1.06,14.54,7.43,zone.1,14,0,0.4075000000000001,5.66,1,2,433.05,5.137499999999961,5.137499999999961,p2,NA,12.3825,87.62,constant,60
1,1.6,2018-05-07,437.8,1.54,1.01,13.85,7.22,zone.1,15,1.6300000000000003,0,7.319999999999999,3,3,433.05,4.798333333333307,4.798333333333307,a2,NA,12.3825,94.94,constant,60
1,1.6,2018-05-11,NA,NA,1.11,13.1,7.08,zone.1,16,0,0,6.77,2,1,433.05,4.459166666666654,4.459166666666654,a2,NA,12.3825,101.71,constant,60
1,1.6,2018-05-14,437.69,NA,1.04,15.09,7.19,zone.1,17,0,0,5.909999999999999,1,2,433.05,4.12,4.12,a2,NA,12.3825,107.62,constant,60
1,1.7,2018-03-15,440,0,2,14.55,0,zone.1,1,0,1.16,0,3,1,438,-0.8699999999999999,-0.8699999999999999,b1,NA,1.16,0,constant,60
1,1.7,2018-03-18,441.1,NA,1.05,14.99,7.27,zone.1,2,0,1.16,7.280000000000001,2,2,438,2.260000000000023,2.260000000000023,b1,NA,2.32,7.280000000000001,constant,60
1,1.7,2018-03-22,440.82,NA,1.03,14.45,7.41,zone.1,3,0,1.16,7.58,1,3,438,3.9799999999999933,3.9799999999999933,b1,NA,3.4799999999999995,14.860000000000001,constant,60
1,1.7,2018-03-26,441.82,0.6,1.16,14.34,6.41,zone.1,4,3.48,0.9199999999999999,8.04,3,0,438,2.659999999999993,2.659999999999993,b1,NA,4.3999999999999995,22.9,constant,60
1,1.7,2018-03-29,441.68,NA,1.09,15.11,7.37,zone.1,5,0,0.9199999999999999,6.97,2,1,438,3.4400000000000066,3.4400000000000066,p1,NA,5.319999999999999,29.87,constant,60
1,1.7,2018-04-01,441.69,NA,1.05,14.59,7.71,zone.1,6,0,0.9199999999999999,7.3999999999999995,1,2,438,4.609999999999998,4.609999999999998,p1,NA,6.239999999999999,37.269999999999996,constant,60
1,1.7,2018-04-05,440.95,NA,1.08,13.96,7.5,zone.1,7,0,0.9199999999999999,7.09,0,3,438,0.5699999999999885,0.5699999999999885,p1,NA,7.159999999999999,44.36,constant,60
1,1.7,2018-04-09,441.04,1.62,1.1,12.39,6.24,zone.1,8,2.76,0.4075000000000001,7.720000000000001,3,0,438,1.3175000000000203,1.3175000000000203,a1.b2,NA,7.5675,52.08,constant,60
1,1.7,2018-04-13,440.65,NA,1.06,13.22,6.4,zone.1,9,0,0.4075000000000001,5.99,2,1,438,1.9574999999999774,1.9574999999999774,a1.b2,NA,7.975,58.07,constant,60
1,1.7,2018-04-16,439.84,NA,1.1,14.55,7.25,zone.1,10,0,0.4075000000000001,5.970000000000001,1,2,438,2.247499999999975,2.247499999999975,a1.b2,NA,8.3825,64.04,constant,60
1,1.7,2018-04-20,440.61,NA,1.14,13.86,7.19,zone.1,11,0,0.4075000000000001,7.36,0,3,438,-0.2424999999999865,-0.2424999999999865,a1.b2,NA,8.79,71.4,constant,60
1,1.7,2018-04-24,441.96,2.77,1.02,13.36,6.66,zone.1,12,1.6300000000000003,0.39000000000000007,7.199999999999999,3,0,438,2.10999999999998,2.10999999999998,p2,NA,9.18,78.6,constant,60
1,1.7,2018-04-28,NA,NA,1.09,13.36,7.85,zone.1,13,0,0.39000000000000007,5.51,2,1,438,2.8000000000000016,2.8000000000000016,p2,NA,9.57,84.11,constant,60
1,1.7,2018-05-02,441.1,NA,1.06,14.21,7.69,zone.1,14,0,0.39000000000000007,5.669999999999999,1,2,438,3.490000000000023,3.490000000000023,p2,NA,9.96,89.78,constant,60
1,1.7,2018-05-07,441.3,1.61,1.01,13.77,7.36,zone.1,15,1.5600000000000003,0,6.8500000000000005,3,3,438,4.093333333333349,4.093333333333349,a2,NA,9.96,96.63,constant,60
1,1.7,2018-05-11,NA,NA,1.11,13.81,7.13,zone.1,16,0,0,6.64,2,1,438,4.696666666666674,4.696666666666674,a2,NA,9.96,103.27,constant,60
1,1.7,2018-05-14,442.38,NA,1.04,15.31,8.35,zone.1,17,0,0,5.460000000000001,1,2,438,5.3,5.3,a2,NA,9.96,108.73,constant,60
